Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCM_M_R,Forest,0,0,0,0,0,1,39,0,144,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCM_M_R,Wetland,0,0,0,0,0,1,0,0,121,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCM_M_R,Bareland,0,0,0,0,0,10,65,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCM_M_R,Built-up,0,0,0,0,0,0,14,0,49,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCM_M_R,Water,0,0,0,0,0,0,118,0,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCM_M_R,Grassland,0,0,0,0,0,0,1,0,16,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCM_M_R,Bareland,1,113,0,12,94,22,72,12,0,26,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCM_M_R,Grassland,0,31,1,11,10,0,1,23,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCM_M_R,Built-up,15,93,25,32,0,0,14,41,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCM_M_R,Wetland,1,23,8,32,4,1,0,15,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCM_M_R,Cropland,9,0,0,11,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCM_M_R,Forest,50,90,34,0,23,1,39,67,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCM_M_R,Water,3,63,19,17,43,0,129,8,0,18,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCM_M_R,Wetland,0,41,1,43,78,81,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCM_M_R,Grassland,0,36,0,3,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCM_M_R,Built-up,0,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCM_M_R,Forest,0,80,0,0,164,15,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCM_M_R,Bareland,0,2,0,11,95,68,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCM_M_R,Cropland,0,0,0,4,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCM_M_R,Water,0,0,28,0,72,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCM_M_R,Shrubland,0,4,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCM_M_R,Bareland,0,0,0,0,0,121,0,0,0,0,38,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCM_M_R,Built-up,0,0,0,0,0,34,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCM_M_R,Wetland,0,0,0,0,0,35,0,0,0,0,27,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCM_M_R,Grassland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCM_M_R,Water,0,0,0,0,0,0,0,0,0,0,58,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCM_M_R,Forest,0,0,0,0,0,9,0,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCM_M_R,Cropland,14,0,0,25,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCM_M_R,Built-up,2,8,14,52,0,33,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCM_M_R,Forest,2,11,0,0,0,4,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCM_M_R,Wetland,3,3,2,104,0,45,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCM_M_R,Grassland,0,6,5,37,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCM_M_R,Bareland,0,0,0,8,0,42,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCM_M_R,Water,0,0,16,1,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCM_M_R,Shrubland,0,0,0,6,0,0,0,0,0,0,0,0
