Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Lichens_and_Mosses,3,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Permanent_ice_and_snow,10,0,15,0,3,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRD_M_R,Shrubland,0,0,0,0,0,0,0,0,95,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRD_M_R,Grassland,0,0,0,0,14,0,55,0,236,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRD_M_R,Water,0,0,0,0,0,0,348,0,281,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRD_M_R,Cropland,0,0,0,0,1,0,4,0,42,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRD_M_R,Built-up,0,0,0,0,0,0,4,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRD_M_R,Bareland,0,0,0,0,1,0,7,0,50,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRD_M_R,Forest,0,0,0,0,27,0,147,0,240,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRD_M_R,Wetland,0,0,0,0,14,0,0,0,218,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRD_M_R,Grassland,0,0,0,0,280,0,0,0,0,121,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRD_M_R,Water,0,0,0,0,0,0,0,0,0,564,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRD_M_R,Shrubland,0,0,0,0,105,0,0,0,0,50,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRD_M_R,Bareland,0,0,0,0,52,0,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRD_M_R,Cropland,0,0,0,0,71,0,0,0,0,29,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRD_M_R,Built-up,0,0,0,0,22,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRD_M_R,Wetland,0,0,0,0,161,0,0,0,0,135,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRD_M_R,Forest,0,0,0,0,380,0,0,0,0,215,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRD_M_R,Permanent_ice_and_snow,0,0,0,0,6,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRD_M_R,Grassland,0,504,59,128,14,352,55,507,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRD_M_R,Bareland,2,262,0,150,1,108,7,201,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRD_M_R,Built-up,11,183,11,0,0,73,4,133,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRD_M_R,Water,21,537,117,79,0,381,348,585,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRD_M_R,Forest,118,632,41,185,27,0,147,693,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRD_M_R,Shrubland,9,52,9,14,0,42,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRD_M_R,Cropland,23,0,2,104,1,216,4,305,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRD_M_R,Wetland,1,48,0,2,14,61,0,45,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRD_M_R,Permanent_ice_and_snow,0,19,4,3,0,7,0,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRD_M_R,Grassland,0,442,2,187,141,189,65,0,0,0,0,0
