Dataset,MajorityClass,Forest,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQG_M_R,Forest,0,36,0,4,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQG_M_R,Water,0,20,0,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQG_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQG_M_R,Grassland,0,0,0,0,0,0,32,0,0,0,12,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQG_M_R,Cropland,0,0,0,0,0,0,30,0,0,0,18,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQG_M_R,Wetland,0,0,0,0,0,0,68,0,0,0,39,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQG_M_R,Bareland,0,0,0,0,0,0,19,0,0,0,14,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQG_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQG_M_R,Water,0,0,0,0,0,0,0,0,0,0,160,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQG_M_R,Forest,0,0,0,0,0,0,63,0,0,0,43,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQG_M_R,Grassland,26,0,124,6,1,12,22,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQG_M_R,Forest,0,0,119,41,2,34,52,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQG_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQG_M_R,Wetland,29,0,69,0,0,0,75,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQG_M_R,Water,46,0,107,43,3,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQG_M_R,Bareland,18,0,57,7,0,27,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQG_M_R,Built-up,3,0,4,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQG_M_R,Cropland,21,0,0,2,2,27,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQG_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQG_M_R,Wetland,50,29,11,0,27,0,49,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQG_M_R,Water,70,25,9,46,33,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQG_M_R,Cropland,29,30,0,13,29,0,22,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQG_M_R,Forest,0,21,18,20,37,0,26,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQG_M_R,Bareland,1,2,1,0,0,0,4,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQG_M_R,Built-up,10,2,11,0,14,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQG_M_R,Grassland,31,0,15,11,20,0,15,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQG_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
