Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Water,Wetland,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,Cropland,0,0,0,0,160,0,0,0,0,218,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,Grassland,0,400,252,101,34,126,8,489,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,Wetland,0,81,173,18,49,0,7,247,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,Bareland,0,200,44,181,69,21,0,201,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,Built-up,0,267,96,0,40,50,2,331,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,Water,1,562,442,128,0,636,165,761,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,Forest,14,881,0,247,210,492,62,1100,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,Cropland,1,0,408,298,114,173,21,872,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,Shrubland,0,10,8,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,Grassland,0,721,118,98,36,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,Wetland,0,902,185,111,243,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,Bareland,0,312,5,141,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,Built-up,0,172,15,0,7,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,Water,0,1222,153,163,0,119,22,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,Forest,0,1344,0,519,528,127,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,Shrubland,0,108,32,23,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,Cropland,0,0,140,236,23,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,Forest,136,163,0,0,154,49,44,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,Cropland,274,0,422,0,140,39,200,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,Wetland,206,105,611,0,334,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,Built-up,48,225,185,0,48,0,181,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,Water,65,98,771,0,0,176,112,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,Shrubland,11,34,90,0,10,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,Grassland,0,81,138,0,78,25,47,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,Bareland,0,29,27,0,11,2,0,0,0,0,0,0
