Dataset,MajorityClass,Forest,Bareland,Grassland,Water,Built-up,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMU_M_R,Water,32,27,59,0,5,298,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMU_M_R,Shrubland,0,0,1,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMU_M_R,Wetland,7,21,103,195,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMU_M_R,Cropland,0,2,6,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMU_M_R,Bareland,0,0,4,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMU_M_R,Built-up,1,61,50,21,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMU_M_R,Grassland,0,0,0,54,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMU_M_R,Wetland,0,0,0,289,0,0,0,115,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMU_M_R,Water,0,0,0,0,0,0,0,178,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMU_M_R,Bareland,0,0,0,4,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMU_M_R,Built-up,0,0,0,45,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMU_M_R,Forest,0,0,0,189,0,0,0,67,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMU_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMU_M_R,Grassland,35,15,0,6,18,17,0,0,35,37,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMU_M_R,Wetland,21,39,37,26,17,0,0,0,22,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMU_M_R,Forest,0,127,133,35,77,152,0,0,95,84,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMU_M_R,Water,95,113,120,0,53,241,0,0,53,18,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMU_M_R,Bareland,1,0,1,0,17,1,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMU_M_R,Built-up,14,1,9,2,0,23,0,0,23,21,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMU_M_R,Grassland,32,0,0,10,52,9,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMU_M_R,Bareland,0,0,0,3,20,2,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMU_M_R,Wetland,139,5,0,112,53,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMU_M_R,Forest,0,1,0,169,114,81,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMU_M_R,Water,127,13,0,0,54,167,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMU_M_R,Built-up,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMU_M_R,Cropland,1,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMU_M_R,Wetland,432,2,34,99,0,0,0,0,0,30,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMU_M_R,Forest,0,1,12,2,0,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMU_M_R,Water,457,16,31,0,0,20,0,0,0,5,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMU_M_R,Built-up,17,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMU_M_R,Grassland,93,2,0,5,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMU_M_R,Bareland,6,0,0,0,0,0,0,0,0,1,0,0
