Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R
182,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
184,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
185,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
186,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
187,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
188,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
189,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
190,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
191,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
192,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Built-up
193,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
194,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
195,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Water
196,Cropland,Water,Water,Water,Water,NULL,NULL,Water
197,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
198,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
199,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
200,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
201,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Water
202,Cropland,Forest,Water,Water,Water,NULL,NULL,Grassland
203,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
204,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
205,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
206,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
208,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
212,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
213,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
214,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
215,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,Wetland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
218,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
219,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
220,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
221,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
222,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
223,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
224,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
225,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
226,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
227,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
229,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
230,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
231,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
232,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
233,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
234,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
235,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
236,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
237,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
238,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
239,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
240,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
241,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
242,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
243,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
244,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
245,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
246,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
247,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
248,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
249,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
250,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
251,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
252,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
253,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
254,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
255,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
256,Wetland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
257,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
258,Wetland,Water,Water,Water,Water,NULL,NULL,Water
259,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
260,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
262,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
263,Wetland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
264,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
265,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
266,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
267,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
268,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
269,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
270,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Water
271,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
272,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
273,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
274,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
275,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
276,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
277,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
278,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
279,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Water
280,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
