Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Wetland,Grassland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYT_M_R,Bareland,0,0,0,0,2,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYT_M_R,Water,0,0,0,0,130,0,133,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYT_M_R,Built-up,0,0,0,0,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYT_M_R,Non_Wetland,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYT_M_R,Forest,0,1,224,230,157,360,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYT_M_R,Grassland,5,7,15,88,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYT_M_R,Shrubland,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYT_M_R,Water,40,0,0,110,11,144,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYT_M_R,Cropland,0,2,0,15,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYT_M_R,Wetland,6,0,20,4,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYT_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYT_M_R,Bareland,0,0,5,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYT_M_R,Built-up,0,0,6,24,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYT_M_R,Grassland,94,17,4,3,3,0,0,42,33,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYT_M_R,Wetland,2,0,0,2,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYT_M_R,Water,179,18,0,91,130,77,0,44,2,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYT_M_R,Bareland,6,0,0,0,2,8,0,4,4,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYT_M_R,Forest,0,19,87,139,158,125,0,90,49,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYT_M_R,Cropland,5,0,1,0,0,4,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYT_M_R,Built-up,12,0,0,0,0,14,0,7,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYT_M_R,Grassland,0,0,12,0,0,0,0,0,0,0,18
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYT_M_R,Water,0,0,0,0,0,0,0,0,0,0,211
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYT_M_R,Forest,0,0,211,0,0,0,0,0,0,0,176
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYT_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYT_M_R,Wetland,0,0,18,0,0,0,0,0,0,0,22
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYT_M_R,Bareland,0,0,9,0,0,0,0,0,0,0,8
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYT_M_R,Grassland,39,45,26,1,3,0,0,0,65,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYT_M_R,Forest,0,60,250,1,27,0,0,0,31,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYT_M_R,Bareland,4,11,1,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYT_M_R,Water,113,7,0,41,30,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYT_M_R,Wetland,32,1,21,2,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYT_M_R,Wetland,87,0,4,1,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYT_M_R,Forest,0,0,21,1,1,15,0,0,30,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYT_M_R,Bareland,7,0,1,0,0,1,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYT_M_R,Water,396,0,0,60,0,1,0,0,22,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYT_M_R,Grassland,85,0,24,0,1,0,0,0,30,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYT_M_R,Built-up,3,0,0,0,0,0,0,0,0,0,0
