Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Grassland,Water,Shrubland,Non_Wetland,Cropland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,Bareland,0,9,0,0,0,2,0,62,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,Built-up,0,24,0,0,0,4,0,74,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,Cropland,0,1,0,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,Water,0,287,0,0,0,0,0,310,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,Wetland,31,0,3,120,166,108,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,Non_Wetland,0,10,0,3,2,2,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,Forest,0,328,30,320,445,137,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,Grassland,16,120,13,135,0,3,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,Shrubland,1,13,1,13,9,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,Built-up,2,29,0,107,31,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,Bareland,0,13,2,0,25,2,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,Water,100,203,16,138,113,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,Cropland,0,4,0,18,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,Permanent_ice_and_snow,0,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEC_M_R,Wetland,0,0,0,0,0,93,0,0,0,117,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEC_M_R,Grassland,0,0,0,0,0,11,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEC_M_R,Bareland,0,0,0,0,0,4,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEC_M_R,Built-up,0,0,0,0,0,20,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEC_M_R,Water,0,0,0,0,0,0,0,0,0,220,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEC_M_R,Forest,0,0,0,0,0,169,0,0,0,119,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEC_M_R,Grassland,68,37,34,37,0,0,145,0,4,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEC_M_R,Forest,0,269,83,157,291,72,306,0,13,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEC_M_R,Wetland,15,0,18,22,22,7,89,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEC_M_R,Bareland,7,9,47,0,36,2,92,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEC_M_R,Built-up,16,24,0,3,44,4,60,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEC_M_R,Cropland,4,1,3,1,5,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEC_M_R,Water,110,287,52,84,88,0,153,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEC_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEC_M_R,Grassland,108,6,124,9,0,36,0,0,63,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEC_M_R,Bareland,17,1,60,0,0,9,0,0,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEC_M_R,Forest,0,3,229,1,0,328,0,0,17,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEC_M_R,Wetland,171,0,137,2,0,173,0,0,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEC_M_R,Water,106,43,72,4,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEC_M_R,Built-up,4,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEC_M_R,Cropland,1,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEC_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEC_M_R,Forest,0,0,0,23,43,29,0,0,62,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEC_M_R,Wetland,385,0,0,25,42,121,0,0,31,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEC_M_R,Bareland,9,0,0,0,1,3,0,0,4,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEC_M_R,Water,376,29,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEC_M_R,Grassland,170,5,0,40,0,26,0,0,77,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEC_M_R,Built-up,31,0,0,7,0,8,0,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEC_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
