Dataset,MajorityClass,Grassland,Forest,Water,Wetland,Built-up,Cropland,Bareland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,Wetland,434,232,234,0,1,0,423,991,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,Water,561,435,0,684,9,2,1089,1254,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,Forest,889,0,314,755,51,54,969,1440,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,Non_Water,1,1,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,Shrubland,129,24,23,105,11,7,112,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,Cropland,488,21,5,160,20,0,348,147,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,Bareland,78,2,22,7,0,4,0,22,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,Built-up,96,10,0,12,0,1,112,24,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEL_M_R,Grassland,0,0,263,0,0,0,0,0,0,134,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEL_M_R,Water,0,0,0,0,0,0,0,0,0,1163,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEL_M_R,Wetland,0,0,636,0,0,0,0,0,0,556,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEL_M_R,Shrubland,0,0,124,0,0,0,0,0,0,75,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEL_M_R,Forest,0,0,858,0,0,0,0,0,0,571,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEL_M_R,Bareland,0,0,166,0,0,0,0,0,0,170,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEL_M_R,Cropland,0,0,120,0,0,0,0,0,0,42,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEL_M_R,Built-up,0,0,22,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEL_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEL_M_R,Grassland,0,390,83,201,64,581,44,791,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEL_M_R,Wetland,5,310,88,0,1,90,10,340,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEL_M_R,Bareland,10,23,26,232,27,249,0,196,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEL_M_R,Forest,289,0,279,727,103,799,144,1179,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEL_M_R,Water,74,594,0,862,36,602,178,982,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEL_M_R,Cropland,30,150,25,13,26,0,15,391,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEL_M_R,Built-up,11,13,6,18,0,101,1,121,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEL_M_R,Shrubland,19,56,0,0,7,47,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEL_M_R,Grassland,0,280,153,146,96,666,18,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEL_M_R,Wetland,0,322,408,0,52,200,30,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEL_M_R,Shrubland,0,104,107,109,58,168,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEL_M_R,Forest,0,0,723,434,259,424,17,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEL_M_R,Water,0,240,0,360,56,310,85,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEL_M_R,Bareland,0,64,81,5,49,96,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEL_M_R,Built-up,0,0,0,1,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEL_M_R,Cropland,0,35,10,15,21,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEL_M_R,Wetland,414,1007,424,0,0,98,81,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEL_M_R,Forest,219,0,160,87,0,86,45,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEL_M_R,Shrubland,159,319,119,82,0,46,29,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEL_M_R,Water,232,1066,0,260,0,76,176,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEL_M_R,Cropland,110,79,38,8,0,0,107,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEL_M_R,Bareland,12,69,27,0,0,27,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEL_M_R,Built-up,5,65,2,0,0,29,18,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEL_M_R,Grassland,0,339,117,78,0,143,123,0,0,0,4
