Dataset,MajorityClass,Wetland,Water,Grassland,Bareland,Forest,Built-up,Shrubland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22NDF_M_R,Permanent_ice_and_snow,0,0,15,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDF_M_R,Grassland,88,19,0,0,0,0,0,0,938,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDF_M_R,Wetland,0,151,0,0,0,0,0,0,1753,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDF_M_R,Bareland,39,43,0,0,0,0,0,0,409,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDF_M_R,Forest,351,117,0,0,0,0,0,0,1756,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDF_M_R,Built-up,40,13,0,0,0,0,0,0,380,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDF_M_R,Water,482,0,0,0,0,0,0,0,986,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDF_M_R,Shrubland,0,0,0,0,0,0,0,0,94,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDF_M_R,Cropland,14,0,0,0,0,0,0,0,276,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDF_M_R,Wetland,0,493,514,653,79,25,0,335,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDF_M_R,Non_Wetland,7,1,1,3,0,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDF_M_R,Forest,843,211,657,680,0,129,2,203,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDF_M_R,Grassland,363,17,0,389,15,94,0,170,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDF_M_R,Bareland,128,19,38,0,1,36,0,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDF_M_R,Water,819,0,194,624,168,78,0,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDF_M_R,Shrubland,43,6,22,41,0,13,0,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDF_M_R,Built-up,161,19,72,260,5,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDF_M_R,Cropland,102,2,62,128,3,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDF_M_R,Permanent_ice_and_snow,7,3,3,11,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDF_M_R,Wetland,0,901,0,0,0,0,0,0,0,413,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDF_M_R,Bareland,0,101,0,0,0,0,0,0,0,38,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDF_M_R,Grassland,0,125,0,0,0,0,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDF_M_R,Shrubland,0,15,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDF_M_R,Cropland,0,13,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDF_M_R,Built-up,0,88,0,0,0,0,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDF_M_R,Water,0,0,0,0,0,0,0,0,0,444,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDF_M_R,Forest,0,261,0,0,0,0,0,0,0,159,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDF_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDF_M_R,Grassland,88,19,0,35,280,147,718,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDF_M_R,Forest,384,131,283,98,0,205,907,7,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDF_M_R,Wetland,0,151,154,62,396,100,812,0,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDF_M_R,Bareland,39,43,101,0,125,163,524,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDF_M_R,Built-up,40,16,98,9,71,0,266,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDF_M_R,Cropland,14,0,34,2,101,39,333,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDF_M_R,Water,526,0,102,62,431,132,636,1,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDF_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDF_M_R,Wetland,0,457,0,34,402,238,0,435,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDF_M_R,Bareland,49,75,0,0,78,148,0,84,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDF_M_R,Forest,239,360,0,19,0,313,0,323,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDF_M_R,Grassland,78,82,0,5,213,194,0,349,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDF_M_R,Built-up,3,8,0,13,16,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDF_M_R,Water,426,0,0,37,142,189,0,57,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDF_M_R,Cropland,1,4,0,0,25,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDF_M_R,Permanent_ice_and_snow,0,0,0,0,1,2,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDF_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDF_M_R,Forest,27,172,155,111,0,0,0,132,0,0,0,90
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDF_M_R,Cropland,3,7,41,31,20,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDF_M_R,Wetland,0,579,513,106,891,0,0,188,0,0,0,23
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDF_M_R,Bareland,5,67,57,0,105,0,0,52,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDF_M_R,Water,262,0,100,59,601,0,0,11,0,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDF_M_R,Shrubland,0,0,2,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDF_M_R,Built-up,5,51,51,58,141,0,0,103,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDF_M_R,Grassland,34,73,0,61,231,0,0,106,0,0,0,23
