Dataset,MajorityClass,Forest,Grassland,Cropland,Wetland,Built-up,Bareland,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,Non_Wetland,1,2,0,6,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,Grassland,174,0,0,76,43,192,75,0,241,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,Cropland,153,605,0,18,14,191,25,0,187,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,Wetland,108,303,0,0,1,7,239,0,57,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,Bareland,98,174,0,10,10,0,84,0,57,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,Forest,0,950,0,201,57,323,288,0,549,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,Built-up,34,117,0,0,0,132,11,0,66,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,Water,245,660,0,114,2,58,0,0,81,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,Permanent_ice_and_snow,1,3,0,0,0,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Grassland,48,0,151,136,36,465,74,0,277,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Non_Wetland,0,2,1,3,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Forest,0,766,154,471,12,814,268,0,645,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Wetland,17,171,50,0,0,54,135,0,67,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Non_Water,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Water,66,237,36,423,0,407,0,0,132,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Shrubland,5,56,15,26,4,63,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Bareland,1,54,34,5,2,0,3,0,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Built-up,2,155,39,16,0,229,6,0,67,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Cropland,12,352,0,45,33,423,13,0,134,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,Permanent_ice_and_snow,0,2,3,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQM_M_R,Bareland,0,0,0,0,0,0,19,0,0,29,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQM_M_R,Grassland,0,0,0,0,0,0,84,0,0,52,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQM_M_R,Wetland,0,0,0,0,0,0,338,0,0,82,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQM_M_R,Shrubland,0,0,0,0,0,0,10,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQM_M_R,Water,0,0,0,0,0,0,0,0,0,303,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQM_M_R,Built-up,0,0,0,0,0,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQM_M_R,Forest,0,0,0,0,0,0,212,0,0,176,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQM_M_R,Cropland,0,0,0,0,0,0,23,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQM_M_R,Grassland,226,0,274,69,186,39,45,0,420,0,24,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQM_M_R,Bareland,69,165,132,13,199,0,13,0,176,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQM_M_R,Wetland,64,21,3,0,2,4,34,0,100,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQM_M_R,Built-up,30,100,70,0,0,2,0,0,94,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQM_M_R,Forest,0,481,389,356,229,152,140,0,621,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQM_M_R,Cropland,153,246,0,20,149,13,19,0,320,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQM_M_R,Water,195,194,122,286,61,66,0,0,399,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQM_M_R,Shrubland,17,22,11,0,8,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQM_M_R,Permanent_ice_and_snow,0,1,1,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQM_M_R,Grassland,221,0,702,37,240,38,132,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQM_M_R,Shrubland,36,0,71,4,53,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQM_M_R,Forest,0,0,500,144,282,6,492,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQM_M_R,Bareland,49,0,126,0,113,0,102,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQM_M_R,Water,52,0,183,108,4,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQM_M_R,Wetland,75,0,48,0,13,3,145,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQM_M_R,Built-up,9,0,20,0,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQM_M_R,Cropland,69,0,0,0,79,8,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQM_M_R,Shrubland,112,26,47,3,0,38,8,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQM_M_R,Forest,0,81,151,4,0,58,48,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQM_M_R,Cropland,121,83,0,5,0,97,34,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQM_M_R,Bareland,115,15,46,1,0,0,30,0,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQM_M_R,Wetland,380,11,11,0,0,8,91,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQM_M_R,Built-up,97,10,58,0,0,31,0,0,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQM_M_R,Water,496,16,17,56,0,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQM_M_R,Grassland,378,0,217,24,0,137,131,0,0,0,0,30
