Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Water,179,59,408,8,136,0,0,492,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Shrubland,49,8,73,14,12,0,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Cropland,285,0,211,35,89,0,55,293,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Forest,157,67,194,5,0,0,96,462,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Wetland,29,32,94,2,22,0,85,153,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Permanent_ice_and_snow,1,0,7,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,Bareland,0,0,0,0,0,0,269,0,193,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,Water,0,0,0,0,0,0,0,0,884,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,Shrubland,0,0,0,0,0,0,72,0,71,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,Grassland,0,0,0,0,0,0,32,0,33,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,Cropland,0,0,0,0,0,0,59,0,58,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,Wetland,0,0,0,0,0,0,176,0,97,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,Built-up,0,0,0,0,0,0,29,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,Forest,0,0,0,0,0,0,75,0,105,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,Water,0,0,0,0,0,442,0,0,0,193,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,Shrubland,0,0,0,0,0,0,0,0,0,89,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,Cropland,0,0,0,0,0,14,0,0,0,53,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,Grassland,0,0,0,0,0,4,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,Bareland,0,0,0,0,0,156,27,0,0,45,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,Forest,0,0,0,0,0,137,1,0,0,50,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,Wetland,0,0,0,0,0,0,0,0,0,174,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,Built-up,0,0,0,0,0,9,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,Grassland,0,264,12,27,73,4,0,116,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,Bareland,9,441,0,217,62,156,27,382,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,Built-up,12,167,13,0,27,9,0,98,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,Water,72,685,121,96,215,442,0,556,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,Forest,141,464,38,56,0,137,1,273,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,Shrubland,18,65,8,14,23,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,Cropland,70,0,13,41,95,14,0,191,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,Wetland,1,80,0,2,13,0,0,43,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,Permanent_ice_and_snow,0,10,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,Grassland,0,111,0,36,53,2,28,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,Forest,0,254,0,81,0,23,120,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,Shrubland,0,87,1,44,58,33,65,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,Bareland,0,60,0,264,18,19,160,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,Built-up,0,8,4,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,Wetland,0,24,1,40,21,0,56,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,Water,0,13,23,37,12,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,Cropland,0,0,0,49,44,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,Shrubland,31,66,45,0,171,35,96,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,Bareland,3,32,0,0,54,24,115,0,0,0,0,30
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,Cropland,23,0,31,0,104,16,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,Forest,25,65,8,0,0,3,39,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,Water,5,36,89,0,89,42,0,0,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,Wetland,15,28,18,0,107,0,58,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,Built-up,5,38,81,0,69,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,Grassland,0,66,47,0,98,23,40,0,0,0,0,1
