Dataset,MajorityClass,Grassland,Built-up,Forest,Cropland,Bareland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNT_M_R,Bareland,0,0,0,0,0,0,182,0,0,92,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNT_M_R,Water,0,0,0,0,0,0,0,0,0,1060,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNT_M_R,Built-up,0,0,0,0,0,0,105,0,0,98,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNT_M_R,Shrubland,0,0,0,0,0,0,15,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNT_M_R,Forest,0,0,0,0,0,0,453,0,0,457,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNT_M_R,Wetland,0,0,0,0,0,0,232,0,0,247,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNT_M_R,Cropland,0,0,0,0,0,0,29,0,0,28,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNT_M_R,Grassland,0,363,262,569,64,93,15,763,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNT_M_R,Bareland,11,477,110,399,0,27,34,461,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNT_M_R,Built-up,29,0,158,354,25,60,32,492,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNT_M_R,Forest,161,665,0,891,125,359,135,1678,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNT_M_R,Wetland,1,18,63,58,4,0,8,257,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNT_M_R,Water,41,450,327,490,279,533,0,1052,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNT_M_R,Cropland,39,263,159,0,10,18,1,547,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNT_M_R,Shrubland,0,6,4,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNT_M_R,Grassland,0,356,233,689,20,36,165,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNT_M_R,Wetland,0,94,52,135,0,0,105,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNT_M_R,Bareland,0,306,109,295,0,25,154,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNT_M_R,Forest,0,1002,0,888,24,169,640,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNT_M_R,Shrubland,0,75,27,87,0,10,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNT_M_R,Built-up,0,0,70,180,36,2,44,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNT_M_R,Water,0,399,149,328,14,140,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNT_M_R,Cropland,0,219,93,0,7,3,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNT_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNT_M_R,Built-up,112,0,561,278,244,5,170,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNT_M_R,Water,56,0,823,23,93,83,0,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNT_M_R,Forest,200,0,0,177,164,8,177,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNT_M_R,Shrubland,27,0,131,21,19,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNT_M_R,Wetland,112,0,387,35,4,0,148,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNT_M_R,Cropland,155,0,224,0,140,11,57,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNT_M_R,Bareland,27,0,154,67,0,1,110,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNT_M_R,Grassland,0,0,382,141,157,25,153,0,0,0,0,2
