Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUN_M_R
5836,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5837,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
5838,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
5839,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
5840,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
5841,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
5842,Grassland,Cropland,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
5843,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5844,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
5845,Grassland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
5846,Grassland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Cropland
5847,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
5848,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
5849,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
5850,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
5851,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5852,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
5853,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
5854,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
5855,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
5856,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
5857,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
5858,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
5859,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
5860,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
5861,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
5862,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
5863,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
5864,Grassland,Cropland,Water,NULL,Water,Grassland,Forest,Wetland
5865,Grassland,Cropland,Water,Non_Water,Water,Shrubland,Water,Water
5866,Grassland,Cropland,Water,Non_Water,Water,Grassland,Grassland,Grassland
5867,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
5868,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
5869,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
5870,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
5871,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
5872,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
5873,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
5874,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
5875,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
5876,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
5877,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
5878,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
5879,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
5880,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
5881,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
5882,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
5883,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
5884,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
5885,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5886,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5887,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5888,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5889,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
5890,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5891,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5892,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
5893,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
5894,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
5895,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
5896,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Cropland
5897,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
5898,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
5899,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
5900,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
5901,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
5902,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
5903,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5904,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5905,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
5906,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
5907,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
5908,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
5909,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
5910,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
5911,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
5912,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
5913,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
5914,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
5915,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
5916,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
5917,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
5918,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
5919,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
5920,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
5921,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
5922,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
5923,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
5924,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
5925,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
5926,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
5927,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
5928,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
5929,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5930,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
5931,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Shrubland,Wetland
5932,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
5933,Grassland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5934,Grassland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
5935,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
5936,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
5937,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5938,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
5939,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5940,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
5941,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
5942,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
5943,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
5944,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
5945,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
5946,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5947,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5948,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
5949,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5950,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5951,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
5952,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
5953,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
5954,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
5955,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
5956,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
5957,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
5958,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
5959,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
5960,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest,Wetland
5961,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5962,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
5963,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5964,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
5965,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
5966,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
5967,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
5968,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
5969,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
5970,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
5971,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Wetland
5972,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest,Wetland
5973,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5974,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
5975,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
5976,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
5977,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5978,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
5979,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5980,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5981,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
5982,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Forest,Wetland
5983,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
5984,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
5985,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Shrubland,NULL
5986,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Shrubland,Wetland
5987,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Forest,Wetland
5988,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
5989,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
5990,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
5991,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,NULL,Wetland
5992,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
5993,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
5994,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Forest,Wetland
5995,Grassland,Wetland,Wetland,NULL,Wetland,Bareland,Shrubland,Wetland
5996,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Shrubland,Wetland
5997,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
5998,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Shrubland,Wetland
5999,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Forest,Wetland
6000,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Shrubland,Wetland
6001,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Forest,Wetland
6002,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
6003,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest,Wetland
6004,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
6005,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
6006,Grassland,Wetland,Water,Non_Water,Water,Grassland,Shrubland,Wetland
6007,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
6008,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Shrubland,Wetland
6009,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest,Wetland
6010,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6011,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
6012,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
6013,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Wetland
6014,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
6015,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
6016,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest,Wetland
6017,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
6018,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
6019,Grassland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6020,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
6021,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
6022,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6023,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
6024,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6025,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
6026,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
6027,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
6028,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
6029,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
6030,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
6031,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
6032,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
6033,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
6034,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
6035,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
6036,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
6037,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6038,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
6039,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
6040,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
6041,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6042,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
6043,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
6044,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6045,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
6046,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
6047,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
6048,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
6049,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
6050,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
6051,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
6052,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
6053,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
6054,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
6055,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
6056,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
6057,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
6058,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
6059,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6060,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
6061,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
6062,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6063,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
6064,Grassland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
6065,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,NULL
6066,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
6067,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
6068,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
6069,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
6070,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
6071,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
6072,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6073,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6074,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
6075,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
6076,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6077,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
6078,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
6079,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
6080,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
6081,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
6082,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
6083,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
6084,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6085,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
6086,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
6087,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
6088,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
6089,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6090,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
6091,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
6092,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
6093,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
6094,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
6095,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
6096,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
6097,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
6098,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
6099,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
6100,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
6101,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
6102,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6103,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
6104,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
6105,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
6106,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
6107,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
6108,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
6109,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
6110,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
6111,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
6112,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
6113,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
6114,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
6115,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
6116,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
6117,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
6118,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
6119,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
6120,Grassland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
6121,Grassland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Cropland
6122,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
6123,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
6124,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
6125,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
6126,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
6127,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
6128,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
6129,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
6130,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
6131,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
6132,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
6133,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
6134,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
6135,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
6136,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
6137,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
6138,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
6139,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
6140,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
6141,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
6142,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6143,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
