Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Cropland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEU_M_R,Wetland,14,0,5,0,9,40,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEU_M_R,Water,44,42,36,37,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEU_M_R,Cropland,2,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEU_M_R,Forest,0,23,0,15,81,67,69,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEU_M_R,Bareland,99,0,0,3,43,121,30,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEU_M_R,Water,365,21,0,39,11,0,34,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEU_M_R,Wetland,85,1,0,0,6,27,17,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEU_M_R,Built-up,47,7,0,0,18,2,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEU_M_R,Grassland,157,20,0,26,68,67,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEU_M_R,Cropland,3,0,0,0,0,3,0,0,0,0,0
