Dataset,MajorityClass,Grassland,Built-up,Forest,Wetland,Water,Bareland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWV_M_R,Cropland,2,5,15,4,0,7,0,0,12,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWV_M_R,Wetland,6,1,24,0,7,14,4,0,23,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWV_M_R,Bareland,1,0,5,8,2,0,2,0,3,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWV_M_R,Built-up,7,0,10,1,1,8,4,0,11,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWV_M_R,Forest,30,28,0,40,20,44,26,0,57,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWV_M_R,Grassland,0,7,20,10,6,18,7,0,24,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWV_M_R,Grassland,0,0,0,10,6,0,0,0,0,0,43
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWV_M_R,Forest,0,0,0,40,20,0,0,0,0,0,92
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWV_M_R,Wetland,0,0,0,0,7,0,0,0,0,0,87
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWV_M_R,Water,0,0,0,54,0,0,0,0,0,0,66
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWV_M_R,Built-up,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWV_M_R,Cropland,0,0,0,4,0,0,0,0,0,0,12
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWV_M_R,Bareland,0,0,0,8,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWV_M_R,Wetland,0,25,48,0,42,12,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWV_M_R,Water,0,49,74,81,0,36,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWV_M_R,Grassland,0,16,30,34,17,1,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWV_M_R,Forest,0,38,0,58,43,6,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWV_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWV_M_R,Cropland,0,5,7,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWV_M_R,Bareland,0,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWV_M_R,Water,44,0,82,33,0,29,53,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWV_M_R,Wetland,37,0,45,0,34,18,39,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWV_M_R,Bareland,1,0,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWV_M_R,Forest,25,0,0,15,24,7,23,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWV_M_R,Grassland,0,0,10,3,3,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWV_M_R,Built-up,0,0,2,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWV_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
