Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKH_M_R,Grassland,0,401,3,119,51,172,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKH_M_R,Forest,0,435,1,242,379,0,86,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKH_M_R,Shrubland,0,141,3,94,79,97,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKH_M_R,Bareland,0,135,0,170,25,43,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKH_M_R,Built-up,0,17,0,0,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKH_M_R,Wetland,0,9,0,7,39,33,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKH_M_R,Water,0,32,3,35,0,54,61,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKH_M_R,Cropland,0,0,0,48,3,114,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKH_M_R,Permanent_ice_and_snow,0,0,0,0,1,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKH_M_R,Forest,150,136,131,0,54,0,3,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKH_M_R,Shrubland,88,88,89,0,70,227,20,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKH_M_R,Wetland,32,7,18,0,40,143,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKH_M_R,Cropland,114,0,160,0,1,138,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKH_M_R,Bareland,7,19,0,0,16,33,0,0,0,0,41
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKH_M_R,Water,71,19,26,0,0,474,81,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKH_M_R,Built-up,2,32,27,0,1,79,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKH_M_R,Grassland,0,96,119,0,46,161,11,0,0,0,24
