Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWT_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWT_M_R,Non_Wetland,4,0,1,0,6,6,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWT_M_R,Grassland,0,54,84,24,179,218,0,730,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWT_M_R,Bareland,147,0,0,30,59,6,0,188,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWT_M_R,Water,455,25,221,37,0,495,0,1600,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWT_M_R,Forest,316,54,219,39,346,0,0,1232,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWT_M_R,Built-up,220,9,203,0,34,45,0,287,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWT_M_R,Non_Water,3,0,0,0,7,2,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWT_M_R,Shrubland,117,1,58,19,74,40,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWT_M_R,Cropland,639,0,339,151,186,171,0,870,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWT_M_R,Wetland,249,33,94,0,647,451,0,1247,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWT_M_R,Shrubland,0,0,0,0,0,0,0,0,483,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWT_M_R,Grassland,0,0,0,0,11,0,185,0,536,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWT_M_R,Water,0,0,0,0,0,0,893,0,949,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWT_M_R,Cropland,0,0,0,0,3,0,89,0,422,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWT_M_R,Forest,0,0,0,0,51,0,364,0,723,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWT_M_R,Bareland,0,0,0,0,0,0,30,0,54,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWT_M_R,Built-up,0,0,0,0,3,0,35,0,22,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWT_M_R,Wetland,0,0,0,0,13,0,0,0,1208,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWT_M_R,Shrubland,0,0,0,0,205,0,0,0,0,107,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWT_M_R,Grassland,0,0,0,0,357,0,0,0,0,199,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWT_M_R,Water,0,0,0,0,0,0,0,0,0,1152,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWT_M_R,Forest,0,0,0,0,436,0,0,0,0,310,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWT_M_R,Cropland,0,0,0,0,200,0,0,0,0,132,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWT_M_R,Bareland,0,0,0,0,70,0,0,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWT_M_R,Wetland,0,0,0,0,715,0,0,0,0,518,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWT_M_R,Built-up,0,0,0,0,44,0,0,0,0,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWT_M_R,Grassland,0,668,109,111,11,461,185,346,0,0,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWT_M_R,Bareland,5,357,0,160,0,154,30,195,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWT_M_R,Built-up,55,282,25,0,3,123,35,186,0,0,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWT_M_R,Water,245,1135,202,116,0,901,893,766,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWT_M_R,Cropland,103,0,22,205,3,300,89,358,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWT_M_R,Forest,285,670,110,131,51,0,364,321,0,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWT_M_R,Shrubland,50,125,54,30,0,116,0,0,0,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWT_M_R,Wetland,111,312,48,4,13,301,0,79,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWT_M_R,Grassland,0,589,7,264,250,191,84,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWT_M_R,Shrubland,0,254,0,180,150,97,85,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWT_M_R,Water,0,260,18,171,0,102,174,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWT_M_R,Bareland,0,130,0,195,61,23,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWT_M_R,Built-up,0,65,3,0,13,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWT_M_R,Forest,0,419,0,325,401,0,176,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWT_M_R,Wetland,0,290,0,111,500,195,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWT_M_R,Cropland,0,0,0,177,58,65,22,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWT_M_R,Forest,174,98,55,0,116,0,187,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWT_M_R,Shrubland,150,149,127,0,160,304,202,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWT_M_R,Water,232,96,188,0,0,607,595,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWT_M_R,Cropland,126,0,121,0,89,268,175,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWT_M_R,Built-up,13,153,106,0,28,129,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWT_M_R,Wetland,266,155,92,0,233,377,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWT_M_R,Grassland,0,182,194,0,131,260,190,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWT_M_R,Bareland,0,31,0,0,15,14,2,0,0,0,0
