Dataset,MajorityClass,Grassland,Built-up,Forest,Bareland,Wetland,Cropland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQS_M_R,Water,0,0,0,0,0,0,0,0,0,682,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQS_M_R,Bareland,0,0,0,0,0,0,544,0,0,245,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQS_M_R,Forest,0,0,0,0,0,0,543,0,0,249,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQS_M_R,Shrubland,0,0,0,0,0,0,72,0,0,25,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQS_M_R,Wetland,0,0,0,0,0,0,1385,0,0,658,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQS_M_R,Built-up,0,0,0,0,0,0,72,0,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQS_M_R,Cropland,0,0,0,0,0,0,164,0,0,105,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQS_M_R,Grassland,0,138,629,220,132,581,10,502,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQS_M_R,Wetland,458,119,746,347,0,519,142,507,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQS_M_R,Built-up,229,0,187,68,61,291,2,192,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQS_M_R,Forest,953,231,0,373,477,731,114,644,0,0,47,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQS_M_R,Bareland,229,276,315,0,233,711,53,300,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQS_M_R,Water,315,117,540,253,827,460,0,390,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQS_M_R,Cropland,291,85,418,51,39,0,0,309,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQS_M_R,Shrubland,77,35,67,46,0,91,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQS_M_R,Permanent_ice_and_snow,5,1,4,1,0,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQS_M_R,Grassland,0,315,272,51,581,964,159,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQS_M_R,Forest,0,586,0,16,853,621,319,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQS_M_R,Shrubland,0,149,103,7,137,138,41,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQS_M_R,Wetland,0,309,372,128,0,279,466,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQS_M_R,Bareland,0,176,138,0,307,201,153,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQS_M_R,Built-up,0,0,52,11,42,47,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQS_M_R,Water,0,98,66,198,685,89,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQS_M_R,Cropland,0,67,96,21,11,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQS_M_R,Permanent_ice_and_snow,0,7,2,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQS_M_R,Forest,233,0,0,266,144,243,204,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQS_M_R,Shrubland,86,0,254,107,77,88,72,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQS_M_R,Wetland,415,0,1313,241,0,182,936,0,0,0,0,32
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQS_M_R,Cropland,161,0,122,261,4,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQS_M_R,Bareland,7,0,132,0,196,55,195,0,0,0,0,56
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQS_M_R,Water,53,0,347,202,221,68,0,0,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQS_M_R,Built-up,8,0,268,89,19,61,45,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQS_M_R,Grassland,0,0,555,307,252,379,268,0,0,0,0,17
