Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCQ_M_R,Bareland,0,0,0,0,0,4,0,0,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCQ_M_R,Grassland,233,163,69,22,28,26,0,372,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCQ_M_R,Forest,0,131,162,78,14,77,249,395,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCQ_M_R,Wetland,68,4,0,14,0,18,7,89,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCQ_M_R,Bareland,14,22,7,0,4,0,6,50,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCQ_M_R,Cropland,128,0,12,4,23,2,113,224,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCQ_M_R,Built-up,4,11,0,0,0,1,5,22,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCQ_M_R,Water,158,27,259,44,0,0,49,158,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCQ_M_R,Shrubland,9,3,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCQ_M_R,Shrubland,20,58,0,0,6,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCQ_M_R,Grassland,142,522,4,4,64,59,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCQ_M_R,Wetland,61,30,0,2,4,112,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCQ_M_R,Forest,0,263,51,0,44,159,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCQ_M_R,Bareland,2,28,0,0,15,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCQ_M_R,Water,47,91,21,13,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCQ_M_R,Built-up,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCQ_M_R,Cropland,14,0,0,2,17,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCQ_M_R,Wetland,260,14,0,15,0,76,72,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCQ_M_R,Forest,0,74,9,34,0,38,64,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCQ_M_R,Shrubland,45,27,4,14,0,10,12,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCQ_M_R,Cropland,79,0,0,101,0,13,56,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCQ_M_R,Water,278,6,50,28,0,0,27,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCQ_M_R,Grassland,241,129,19,128,0,78,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCQ_M_R,Bareland,4,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCQ_M_R,Built-up,4,1,0,0,0,0,0,0,0,0
