Dataset,MajorityClass,Shrubland,Grassland,Wetland,Bareland,Forest,Water,Cropland,Built-up,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUU_M_R,Built-up,6,1,0,0,4,1,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUU_M_R,Water,24,0,31,9,25,0,35,5,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUU_M_R,Grassland,0,0,0,0,139,2,96,19,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUU_M_R,Wetland,0,0,0,0,100,8,23,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUU_M_R,Forest,0,0,0,1,0,9,51,20,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUU_M_R,Built-up,0,0,0,1,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUU_M_R,Water,0,0,0,0,21,0,61,9,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUU_M_R,Shrubland,0,0,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUU_M_R,Cropland,0,0,0,0,15,2,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUU_M_R,Bareland,0,0,0,0,2,0,15,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUU_M_R,Wetland,0,101,0,4,169,18,48,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUU_M_R,Shrubland,0,8,0,0,30,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUU_M_R,Cropland,0,14,5,9,12,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUU_M_R,Water,0,18,1,3,45,0,13,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUU_M_R,Built-up,0,3,0,5,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUU_M_R,Forest,0,29,2,5,0,5,21,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUU_M_R,Grassland,0,0,5,14,97,4,58,0,0,0,0
