Dataset,MajorityClass,Cropland,Forest,Built-up,Bareland,Water,Wetland,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZP_M_R,Grassland,0,0,0,0,4,23,0,341,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZP_M_R,Wetland,0,0,0,0,0,0,0,197,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZP_M_R,Forest,0,0,0,0,84,192,0,914,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZP_M_R,Shrubland,0,0,0,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZP_M_R,Cropland,0,0,0,0,27,19,0,408,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZP_M_R,Bareland,0,0,0,0,6,7,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZP_M_R,Water,0,0,0,0,0,227,0,466,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZP_M_R,Built-up,0,0,0,0,7,0,0,44,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,Non_Wetland,0,1,0,0,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,Grassland,45,103,32,14,1,185,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,Shrubland,1,3,0,1,0,8,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,Cropland,0,187,187,174,41,236,309,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,Built-up,58,46,0,107,4,40,110,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,Bareland,2,4,3,0,1,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,Wetland,2,38,0,16,36,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,Water,40,257,76,104,0,468,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,Forest,134,0,81,59,129,531,258,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZP_M_R,Grassland,297,216,110,11,4,23,0,0,252,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZP_M_R,Cropland,0,289,227,37,27,19,78,0,260,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZP_M_R,Wetland,39,69,5,4,0,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZP_M_R,Bareland,60,9,52,0,6,7,1,0,15,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZP_M_R,Built-up,209,88,0,9,7,0,19,0,94,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZP_M_R,Forest,559,0,146,82,84,192,167,0,304,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZP_M_R,Water,524,420,107,138,0,227,49,0,127,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZP_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZP_M_R,Grassland,0,0,0,0,73,0,0,0,0,0,12,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZP_M_R,Wetland,0,0,0,0,93,0,0,0,0,0,88,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZP_M_R,Cropland,0,0,0,0,116,0,0,0,0,0,59,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZP_M_R,Bareland,0,0,0,0,9,0,0,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZP_M_R,Built-up,0,0,0,0,22,0,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZP_M_R,Water,0,0,0,0,0,0,0,0,0,0,376,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZP_M_R,Forest,0,0,0,0,248,0,0,0,0,0,186,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZP_M_R,Grassland,436,153,161,0,49,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZP_M_R,Forest,643,0,302,0,359,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZP_M_R,Wetland,98,75,2,0,93,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZP_M_R,Bareland,75,3,59,0,11,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZP_M_R,Built-up,118,6,0,1,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZP_M_R,Water,549,167,133,8,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZP_M_R,Cropland,0,114,242,1,66,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZP_M_R,Forest,156,0,0,6,158,25,141,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZP_M_R,Cropland,0,238,0,34,123,5,151,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZP_M_R,Wetland,20,215,0,6,94,0,96,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZP_M_R,Built-up,148,118,0,10,41,0,65,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZP_M_R,Bareland,8,11,0,0,13,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZP_M_R,Water,118,323,0,18,0,46,27,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZP_M_R,Grassland,109,169,0,1,15,0,0,0,0,0,0,0
