Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Cropland,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,Bareland,0,7,0,15,8,41,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,Built-up,0,2,13,0,1,32,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,Water,137,249,28,2,0,307,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,Wetland,12,0,7,1,86,91,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,Cropland,0,6,3,0,3,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,Permanent_ice_and_snow,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRL_M_R,Grassland,0,0,0,0,86,0,0,0,0,44,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRL_M_R,Shrubland,0,0,0,0,11,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRL_M_R,Water,0,0,0,0,0,0,0,0,0,295,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRL_M_R,Forest,0,0,0,0,130,0,0,0,0,85,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRL_M_R,Wetland,0,0,0,0,130,0,0,0,0,41,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRL_M_R,Bareland,0,0,0,0,30,0,0,0,0,12,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRL_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRL_M_R,Built-up,0,0,0,0,4,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRL_M_R,Permanent_ice_and_snow,0,0,0,0,3,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRL_M_R,Grassland,86,45,20,31,5,0,6,0,372,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRL_M_R,Bareland,22,11,0,12,8,42,13,0,131,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRL_M_R,Built-up,18,0,6,0,0,18,12,0,58,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRL_M_R,Water,204,319,15,21,0,87,33,0,591,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRL_M_R,Forest,0,154,53,56,44,104,41,0,398,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRL_M_R,Cropland,9,0,1,2,0,2,0,0,46,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRL_M_R,Wetland,14,0,0,0,4,5,13,0,126,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRL_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRL_M_R,Permanent_ice_and_snow,5,0,2,2,0,2,4,0,16,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRL_M_R,Grassland,92,22,8,47,70,0,25,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRL_M_R,Water,64,39,33,44,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRL_M_R,Forest,0,71,5,62,262,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRL_M_R,Built-up,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRL_M_R,Bareland,5,0,0,17,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRL_M_R,Wetland,18,0,2,28,86,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRL_M_R,Cropland,5,3,2,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRL_M_R,Permanent_ice_and_snow,3,0,1,6,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRL_M_R,Forest,0,14,21,0,203,38,37,0,0,0,37
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRL_M_R,Wetland,81,0,14,0,95,11,11,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRL_M_R,Bareland,6,1,0,0,7,1,2,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRL_M_R,Water,165,104,72,0,0,2,11,0,0,0,32
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRL_M_R,Grassland,140,35,80,0,121,0,51,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRL_M_R,Shrubland,2,0,0,0,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRL_M_R,Built-up,23,0,11,0,7,0,0,0,0,0,0
