Dataset,MajorityClass,Wetland,Water,Bareland,Forest,Shrubland,Grassland,Cropland,Built-up,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,Non_Wetland,4,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,Shrubland,27,8,4,1,0,7,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,Forest,716,116,82,0,24,352,98,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,Water,820,0,325,92,2,386,70,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,Bareland,13,21,0,0,0,12,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,Built-up,23,0,21,0,0,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,Cropland,69,28,20,4,1,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFF_M_R,Grassland,276,73,34,270,440,0,12,12,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFF_M_R,Wetland,0,127,87,347,475,151,2,25,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFF_M_R,Forest,406,122,84,0,339,193,0,70,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFF_M_R,Water,1183,0,52,308,355,81,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFF_M_R,Bareland,93,14,0,5,14,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFF_M_R,Cropland,65,2,0,51,94,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFF_M_R,Built-up,0,0,0,3,24,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFF_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFF_M_R,Grassland,0,255,0,0,0,0,0,0,0,0,216,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFF_M_R,Shrubland,0,4,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFF_M_R,Wetland,0,1135,0,0,0,0,0,0,0,0,970,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFF_M_R,Bareland,0,61,0,0,0,0,0,0,0,0,50,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFF_M_R,Water,0,0,0,0,0,0,0,0,0,0,681,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFF_M_R,Forest,0,293,0,0,0,0,0,0,0,0,250,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFF_M_R,Cropland,0,27,0,0,0,0,0,0,0,0,55,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFF_M_R,Built-up,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFF_M_R,Grassland,59,35,0,267,0,0,320,22,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFF_M_R,Wetland,0,296,44,654,0,0,758,54,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFF_M_R,Water,117,0,153,243,0,0,377,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFF_M_R,Forest,52,116,0,0,0,0,89,34,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFF_M_R,Bareland,0,9,0,1,0,0,11,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFF_M_R,Shrubland,0,0,0,5,0,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFF_M_R,Cropland,1,0,0,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFF_M_R,Wetland,0,439,164,855,0,747,487,0,0,0,0,45
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFF_M_R,Water,176,0,216,470,0,347,170,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFF_M_R,Shrubland,0,0,0,5,0,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFF_M_R,Forest,24,68,7,0,0,110,116,0,0,0,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFF_M_R,Bareland,1,2,0,3,0,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFF_M_R,Cropland,1,1,0,4,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFF_M_R,Grassland,46,102,19,174,0,0,111,0,0,0,0,18
