Dataset,MajorityClass,Forest,Built-up,Grassland,Bareland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRR_M_R,Cropland,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRR_M_R,Wetland,0,0,0,0,43,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRR_M_R,Forest,0,0,0,0,130,0,0,0,88,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRR_M_R,Water,0,0,0,0,0,0,0,0,102,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRR_M_R,Grassland,33,13,0,12,3,9,40,0,0,28,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRR_M_R,Forest,0,31,59,83,33,126,108,0,0,37,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRR_M_R,Wetland,2,0,0,1,0,0,2,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRR_M_R,Bareland,3,6,2,0,0,5,6,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRR_M_R,Water,39,18,27,55,0,193,50,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRR_M_R,Cropland,4,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRR_M_R,Grassland,19,0,0,2,19,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRR_M_R,Forest,0,0,0,2,187,2,0,0,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRR_M_R,Water,38,0,0,22,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRR_M_R,Wetland,26,0,0,8,52,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRR_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRR_M_R,Bareland,1,0,0,0,4,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRR_M_R,Forest,0,0,4,0,2,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRR_M_R,Grassland,59,0,0,1,3,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRR_M_R,Water,267,0,0,13,0,5,0,0,0,6,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRR_M_R,Wetland,96,0,0,6,9,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRR_M_R,Cropland,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRR_M_R,Bareland,4,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRR_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRR_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0,0
