Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,Bareland,0,134,0,59,27,77,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,Water,0,30,4,23,0,135,96,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,Cropland,0,0,5,101,5,139,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,Wetland,0,4,0,1,108,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,Permanent_ice_and_snow,0,3,0,3,0,22,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTM_M_R,Built-up,47,121,75,0,127,166,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTM_M_R,Forest,263,247,166,0,427,0,101,0,0,0,0,131
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTM_M_R,Shrubland,127,112,87,0,183,197,64,0,0,0,0,50
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTM_M_R,Cropland,99,0,126,0,68,133,9,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTM_M_R,Water,38,5,27,0,0,135,79,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTM_M_R,Bareland,6,45,0,0,16,42,6,0,0,0,0,22
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTM_M_R,Wetland,82,0,3,0,121,96,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTM_M_R,Grassland,0,148,142,0,275,212,85,0,0,0,0,74
