Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRN_M_R,Wetland,1,4,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRN_M_R,Grassland,0,1,0,0,0,50,3,30,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRN_M_R,Forest,151,0,1,0,11,152,103,124,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRN_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRN_M_R,Shrubland,11,0,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRN_M_R,Cropland,38,0,0,0,0,50,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRN_M_R,Wetland,0,0,0,0,0,1,10,5,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRN_M_R,Water,1,9,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRN_M_R,Bareland,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRN_M_R,Grassland,0,0,0,0,4,0,0,0,13,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRN_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRN_M_R,Cropland,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRN_M_R,Forest,0,0,0,0,76,0,36,0,142,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRN_M_R,Water,0,0,0,0,45,0,0,0,34,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRN_M_R,Wetland,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRN_M_R,Grassland,0,37,46,2,4,1,0,58,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRN_M_R,Forest,58,0,55,4,76,40,36,110,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRN_M_R,Bareland,4,2,6,1,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRN_M_R,Shrubland,3,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRN_M_R,Cropland,0,6,0,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRN_M_R,Water,10,30,0,1,45,20,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRN_M_R,Grassland,0,17,40,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRN_M_R,Forest,0,0,15,1,0,0,118,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRN_M_R,Cropland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRN_M_R,Bareland,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRN_M_R,Wetland,0,8,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRN_M_R,Water,0,21,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRN_M_R,Shrubland,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRN_M_R,Forest,7,0,10,0,0,3,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRN_M_R,Cropland,3,6,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRN_M_R,Grassland,0,53,15,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRN_M_R,Wetland,0,25,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRN_M_R,Shrubland,0,18,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRN_M_R,Bareland,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRN_M_R,Water,0,152,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRN_M_R,Water,0,0,0,0,0,0,0,0,0,49
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRN_M_R,Forest,0,0,0,0,0,0,47,0,0,40
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRN_M_R,Wetland,0,0,0,0,0,0,2,0,0,6
