Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Water,Grassland,Shrubland,Non_Wetland,Cropland,Non_Water
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRF_M_R,Water,0,0,0,0,0,0,0,0,0,109
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRF_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRF_M_R,Forest,0,0,0,0,116,0,0,0,0,46
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRF_M_R,Grassland,62,59,3,11,32,0,0,0,125,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRF_M_R,Shrubland,1,2,0,0,2,0,0,0,6,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRF_M_R,Bareland,7,16,0,2,4,0,0,0,11,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRF_M_R,Wetland,39,2,2,0,85,0,0,0,22,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRF_M_R,Forest,0,75,0,9,159,0,0,0,83,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRF_M_R,Water,65,0,20,21,0,0,0,0,17,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRF_M_R,Cropland,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRF_M_R,Forest,0,0,14,2,37,50,0,0,46,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRF_M_R,Shrubland,12,0,1,1,5,5,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRF_M_R,Bareland,4,0,0,1,3,6,0,0,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRF_M_R,Wetland,130,0,4,0,72,44,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRF_M_R,Water,240,0,37,22,0,15,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRF_M_R,Built-up,16,0,3,0,0,3,0,0,6,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRF_M_R,Grassland,98,0,26,4,44,0,0,0,39,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRF_M_R,Cropland,1,0,0,0,0,0,0,0,0,0
