Dataset,MajorityClass,Shrubland,Bareland,Water,Forest,Wetland,Built-up,Grassland,Cropland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFE_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFE_M_R,Bareland,0,0,2,0,15,0,0,0,87,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFE_M_R,Built-up,0,0,1,0,14,0,0,0,55,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFE_M_R,Forest,0,0,17,0,58,0,0,0,303,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFE_M_R,Cropland,0,0,2,0,8,0,0,0,110,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFE_M_R,Water,0,0,0,0,68,0,0,0,164,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFE_M_R,Grassland,33,19,3,29,21,10,0,2,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFE_M_R,Wetland,66,47,21,49,0,13,82,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFE_M_R,Bareland,30,0,6,12,23,12,35,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFE_M_R,Water,54,51,0,42,112,17,63,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFE_M_R,Built-up,16,7,1,18,21,0,42,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFE_M_R,Forest,60,52,31,0,83,33,98,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFE_M_R,Cropland,28,11,2,21,9,6,34,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFE_M_R,Permanent_ice_and_snow,3,0,0,3,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFE_M_R,Wetland,0,23,116,129,0,65,0,124,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFE_M_R,Grassland,0,0,17,66,15,16,0,58,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFE_M_R,Bareland,0,0,41,12,2,12,0,25,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFE_M_R,Built-up,0,0,1,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFE_M_R,Water,0,29,0,46,46,22,0,32,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFE_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFE_M_R,Forest,0,1,68,0,13,51,0,24,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFE_M_R,Cropland,0,0,0,9,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFE_M_R,Permanent_ice_and_snow,0,0,0,6,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFE_M_R,Wetland,0,70,101,154,0,0,107,106,0,0,23
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFE_M_R,Bareland,0,0,5,13,2,0,6,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFE_M_R,Water,0,48,0,83,34,0,37,46,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFE_M_R,Shrubland,0,0,0,1,0,0,1,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFE_M_R,Forest,0,7,18,0,0,0,12,17,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFE_M_R,Built-up,0,5,11,17,0,0,2,11,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFE_M_R,Grassland,0,13,12,30,7,0,0,20,0,0,9
