Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R,Shrubland,0,13,0,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R,Built-up,0,41,3,0,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R,Cropland,0,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVR_M_R,Grassland,13,0,0,0,0,0,0,157,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVR_M_R,Wetland,0,0,0,37,0,0,0,199,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVR_M_R,Forest,180,0,0,72,0,0,0,784,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVR_M_R,Water,236,0,0,0,0,0,0,383,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVR_M_R,Shrubland,0,0,0,0,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVR_M_R,Bareland,2,0,0,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVR_M_R,Built-up,2,0,0,0,0,0,0,22,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,Non_Wetland,9,1,3,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,Forest,503,303,256,222,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,Grassland,70,0,61,8,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,Water,369,49,68,0,26,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,Shrubland,11,6,10,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,Wetland,0,79,50,208,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,Bareland,8,6,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,Built-up,9,22,65,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,Cropland,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVR_M_R,Grassland,0,0,0,30,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVR_M_R,Wetland,0,0,0,197,0,0,0,0,154,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVR_M_R,Bareland,0,0,0,11,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVR_M_R,Shrubland,0,0,0,3,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVR_M_R,Forest,0,0,0,214,0,0,0,0,106,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVR_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVR_M_R,Water,0,0,0,0,0,0,0,0,219,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVR_M_R,Grassland,13,0,25,0,30,22,93,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVR_M_R,Forest,180,154,178,72,0,73,261,0,0,5,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVR_M_R,Wetland,0,15,38,37,21,5,48,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVR_M_R,Bareland,2,3,0,0,3,12,32,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVR_M_R,Water,236,49,141,0,87,15,138,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVR_M_R,Built-up,2,6,1,0,5,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVR_M_R,Cropland,0,0,0,0,0,0,2,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVR_M_R,Grassland,38,0,1,16,38,55,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVR_M_R,Forest,161,0,1,276,0,127,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVR_M_R,Bareland,4,0,0,6,2,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVR_M_R,Water,203,0,18,0,85,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVR_M_R,Wetland,0,0,1,138,94,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVR_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVR_M_R,Wetland,0,26,2,142,459,0,0,0,0,0,1,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVR_M_R,Forest,0,16,5,12,0,0,0,0,0,0,27,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVR_M_R,Water,51,3,5,0,490,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVR_M_R,Bareland,0,1,0,7,13,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVR_M_R,Grassland,0,0,5,5,122,0,0,0,0,0,7,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVR_M_R,Built-up,0,0,0,0,18,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVR_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
