Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Built-up,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEE_M_R,Cropland,0,1,0,0,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEE_M_R,Water,0,42,0,0,0,0,0,85,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEE_M_R,Grassland,0,16,6,7,1,1,14,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEE_M_R,Wetland,17,0,9,6,7,6,16,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEE_M_R,Bareland,16,2,0,1,8,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEE_M_R,Forest,66,80,46,0,34,34,54,0,8,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEE_M_R,Cropland,11,1,0,1,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEE_M_R,Built-up,13,13,0,4,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEE_M_R,Water,34,68,23,19,30,0,38,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEE_M_R,Wetland,0,0,7,69,38,68,0,0,0,27,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEE_M_R,Bareland,0,0,0,5,6,22,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEE_M_R,Grassland,0,1,0,20,10,6,0,0,0,9,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEE_M_R,Water,0,6,5,32,14,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEE_M_R,Forest,0,0,0,0,20,78,0,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEE_M_R,Cropland,0,0,0,2,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEE_M_R,Wetland,59,0,11,100,0,39,0,0,0,29,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEE_M_R,Shrubland,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEE_M_R,Bareland,2,0,0,6,0,1,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEE_M_R,Water,3,17,7,77,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEE_M_R,Forest,7,0,0,0,0,6,0,0,0,5,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEE_M_R,Built-up,1,0,0,10,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEE_M_R,Grassland,0,0,2,15,0,1,0,0,0,4,0
