Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Cropland,Shrubland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHE_M_R,Cropland,30,27,11,15,2,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHE_M_R,Bareland,48,47,0,17,40,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHE_M_R,Built-up,43,32,51,0,22,24,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHE_M_R,Water,67,106,81,40,0,52,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHE_M_R,Forest,155,154,106,63,75,0,0,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHE_M_R,Shrubland,7,7,5,5,5,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHE_M_R,Wetland,93,0,80,37,117,61,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHE_M_R,Lichens_and_Mosses,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHE_M_R,Permanent_ice_and_snow,12,19,8,3,5,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHE_M_R,Wetland,0,0,0,0,7,0,0,0,124,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHE_M_R,Shrubland,0,0,0,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHE_M_R,Grassland,0,15,0,0,3,0,0,0,123,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHE_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHE_M_R,Bareland,0,26,0,0,8,0,0,0,93,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHE_M_R,Built-up,0,13,0,0,0,0,0,0,73,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHE_M_R,Forest,0,54,0,0,21,0,0,0,264,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHE_M_R,Cropland,0,2,0,0,0,0,0,0,51,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHE_M_R,Water,0,50,0,0,0,0,0,0,100,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHE_M_R,Grassland,0,18,21,16,3,45,1,41,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHE_M_R,Wetland,27,0,17,11,9,18,0,23,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHE_M_R,Bareland,43,47,0,28,18,30,0,42,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHE_M_R,Built-up,49,18,10,0,1,31,0,33,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHE_M_R,Water,61,92,39,31,0,48,0,52,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHE_M_R,Forest,131,82,70,54,32,0,1,96,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHE_M_R,Cropland,38,7,6,5,0,32,0,19,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHE_M_R,Permanent_ice_and_snow,11,1,4,11,0,9,0,11,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHE_M_R,Grassland,0,5,0,66,13,48,37,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHE_M_R,Wetland,0,0,3,79,61,48,26,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHE_M_R,Bareland,0,2,0,67,15,11,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHE_M_R,Forest,0,5,0,121,39,0,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHE_M_R,Water,0,11,11,42,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHE_M_R,Built-up,0,0,0,0,2,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHE_M_R,Cropland,0,0,0,13,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHE_M_R,Permanent_ice_and_snow,0,0,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHE_M_R,Wetland,47,0,47,0,74,134,42,0,0,0,32
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHE_M_R,Bareland,7,9,0,0,16,30,8,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHE_M_R,Built-up,5,0,6,0,14,57,26,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHE_M_R,Forest,16,5,18,0,17,0,38,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHE_M_R,Shrubland,1,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHE_M_R,Water,13,31,28,0,0,85,3,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHE_M_R,Grassland,0,11,21,0,19,46,30,0,0,0,13
