Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDF_M_R,Bareland,50,0,44,0,44,98,41,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDF_M_R,Forest,454,0,0,338,119,286,883,461,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDF_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDF_M_R,Wetland,1,0,6,2,4,54,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDF_M_R,Water,87,0,228,98,90,0,457,73,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDF_M_R,Built-up,135,0,117,194,0,35,129,55,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDF_M_R,Non_Wetland,3,0,1,4,0,0,13,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDF_M_R,Grassland,0,50,59,96,26,4,122,89,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDF_M_R,Wetland,6,0,5,41,3,2,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDF_M_R,Forest,432,156,0,843,74,62,887,414,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDF_M_R,Water,56,15,203,749,83,0,503,68,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDF_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDF_M_R,Shrubland,42,11,13,66,5,3,34,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDF_M_R,Cropland,550,0,228,571,205,17,376,247,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDF_M_R,Bareland,82,7,8,0,22,24,11,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDF_M_R,Built-up,203,37,60,277,0,7,139,50,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDF_M_R,Wetland,0,0,0,0,0,3,0,0,278,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDF_M_R,Grassland,0,0,0,0,0,15,7,0,274,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDF_M_R,Water,0,0,0,0,0,0,218,0,565,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDF_M_R,Forest,0,0,0,0,0,117,113,0,1547,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDF_M_R,Shrubland,0,0,0,0,0,0,0,0,86,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDF_M_R,Bareland,0,0,0,0,0,23,5,0,51,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDF_M_R,Cropland,0,0,0,0,0,26,17,0,846,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDF_M_R,Built-up,0,0,0,0,0,24,4,0,253,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDF_M_R,Wetland,0,0,0,0,0,66,0,0,0,45,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDF_M_R,Shrubland,0,0,0,0,0,8,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDF_M_R,Grassland,0,0,0,0,0,40,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDF_M_R,Bareland,0,0,0,0,0,23,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDF_M_R,Built-up,0,0,0,0,0,32,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDF_M_R,Cropland,0,0,0,0,0,97,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDF_M_R,Water,0,0,0,0,0,0,0,0,0,303,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDF_M_R,Forest,0,0,0,0,0,284,0,0,0,137,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDF_M_R,Grassland,0,353,151,10,154,15,7,412,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDF_M_R,Wetland,0,29,42,7,13,3,0,109,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDF_M_R,Bareland,0,293,31,0,195,23,5,210,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDF_M_R,Built-up,0,283,66,1,0,24,4,227,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDF_M_R,Forest,1,842,0,49,421,117,113,970,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDF_M_R,Cropland,0,0,297,6,329,26,17,658,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDF_M_R,Water,0,415,271,72,120,0,218,448,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDF_M_R,Shrubland,0,16,10,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDF_M_R,Grassland,0,523,132,0,141,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDF_M_R,Forest,0,1009,0,0,507,436,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDF_M_R,Shrubland,0,112,47,0,47,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDF_M_R,Bareland,0,303,26,0,178,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDF_M_R,Wetland,0,128,52,0,19,70,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDF_M_R,Water,0,450,98,9,65,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDF_M_R,Built-up,0,164,15,4,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDF_M_R,Cropland,0,0,196,2,289,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDF_M_R,Wetland,26,25,162,11,0,72,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDF_M_R,Forest,99,230,0,70,0,117,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDF_M_R,Shrubland,36,51,91,6,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDF_M_R,Cropland,182,0,306,182,0,88,1,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDF_M_R,Bareland,5,31,63,0,0,37,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDF_M_R,Built-up,24,221,201,148,0,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDF_M_R,Water,8,45,381,61,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDF_M_R,Grassland,0,94,119,68,0,32,0,0,0,0,0,0
