Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,Built-up,132,36,0,49,0,85,122,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,Forest,526,0,0,941,199,578,258,238,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,Water,327,269,0,732,163,0,79,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,Cropland,645,261,0,296,269,167,262,86,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDC_M_R,Wetland,0,0,0,0,0,57,0,0,1052,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDC_M_R,Grassland,0,0,0,33,0,44,0,0,529,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDC_M_R,Forest,0,0,0,227,0,155,0,0,2048,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDC_M_R,Water,0,0,0,423,0,0,0,0,1244,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDC_M_R,Shrubland,0,0,0,0,0,0,0,0,71,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDC_M_R,Cropland,0,0,0,16,0,18,0,0,675,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDC_M_R,Bareland,0,0,0,3,0,5,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDC_M_R,Built-up,0,0,0,4,0,13,0,0,141,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDC_M_R,Grassland,0,94,36,257,29,20,125,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDC_M_R,Forest,482,0,101,1105,70,235,501,163,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDC_M_R,Non_Wetland,3,1,1,17,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDC_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDC_M_R,Water,158,445,84,952,85,0,593,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDC_M_R,Shrubland,26,9,2,37,3,7,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDC_M_R,Wetland,24,215,0,0,0,191,46,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDC_M_R,Cropland,594,163,0,359,151,32,467,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDC_M_R,Built-up,170,28,21,88,0,3,274,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDC_M_R,Bareland,17,4,4,18,10,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDC_M_R,Wetland,0,0,0,0,0,259,0,0,0,270,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDC_M_R,Shrubland,0,0,0,0,0,5,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDC_M_R,Grassland,0,0,0,0,0,73,0,0,0,150,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDC_M_R,Water,0,0,0,0,0,0,0,0,0,1171,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDC_M_R,Cropland,0,0,0,0,0,104,0,0,0,121,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDC_M_R,Bareland,0,0,0,0,0,37,0,0,0,47,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDC_M_R,Built-up,0,0,0,0,0,62,0,0,0,76,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDC_M_R,Forest,0,0,0,0,0,353,0,0,0,405,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDC_M_R,Grassland,0,266,574,33,169,44,31,437,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDC_M_R,Wetland,23,328,184,0,14,57,45,239,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDC_M_R,Forest,236,0,1053,227,293,155,137,812,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDC_M_R,Bareland,0,10,196,3,171,5,0,56,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDC_M_R,Built-up,9,57,317,4,0,13,7,118,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDC_M_R,Water,48,660,944,423,279,0,240,463,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDC_M_R,Cropland,47,199,0,16,272,18,14,392,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDC_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDC_M_R,Shrubland,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDC_M_R,Grassland,0,180,723,6,175,80,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDC_M_R,Bareland,0,16,138,0,94,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDC_M_R,Forest,0,0,947,237,422,544,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDC_M_R,Wetland,0,151,281,0,45,241,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDC_M_R,Built-up,0,11,127,1,0,24,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDC_M_R,Water,0,211,682,247,206,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDC_M_R,Shrubland,0,7,32,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDC_M_R,Cropland,0,101,0,2,209,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDC_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDC_M_R,Forest,130,0,158,98,0,176,38,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDC_M_R,Cropland,188,356,0,24,0,123,89,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDC_M_R,Wetland,87,506,14,0,0,249,2,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDC_M_R,Water,103,791,39,227,0,0,8,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDC_M_R,Built-up,61,210,175,3,0,132,88,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDC_M_R,Bareland,6,56,30,2,0,31,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDC_M_R,Shrubland,5,38,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDC_M_R,Grassland,0,258,114,51,0,116,31,0,0,0,0,2
