Dataset,MajorityClass,Shrubland,Wetland,Bareland,Forest,Water,Grassland,Non_Wetland,Cropland,Non_Water,Built-up,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZQ_M_R,Water,0,0,0,0,0,0,0,0,97,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZQ_M_R,Forest,0,0,0,0,129,0,0,0,62,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZQ_M_R,Grassland,50,10,5,14,0,0,0,1,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZQ_M_R,Forest,129,95,74,0,33,84,0,2,0,18,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZQ_M_R,Wetland,38,0,2,5,1,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZQ_M_R,Bareland,5,10,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZQ_M_R,Water,114,232,39,52,0,21,0,0,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZQ_M_R,Built-up,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZQ_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZQ_M_R,Grassland,0,2,0,16,6,0,0,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZQ_M_R,Water,0,60,31,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZQ_M_R,Wetland,0,0,32,34,113,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZQ_M_R,Forest,0,51,0,0,176,0,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZQ_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZQ_M_R,Forest,0,0,0,0,1,3,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZQ_M_R,Wetland,0,0,14,193,37,3,0,5,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZQ_M_R,Grassland,0,2,0,60,1,0,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZQ_M_R,Water,0,47,28,270,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZQ_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZQ_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
