Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,Shrubland,18,12,2,15,14,4,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,Cropland,312,158,0,95,168,25,31,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,Wetland,19,1,0,21,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,Permanent_ice_and_snow,0,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRT_M_R,Grassland,0,0,0,0,0,11,24,0,181,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRT_M_R,Wetland,0,0,0,0,0,0,0,0,105,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRT_M_R,Shrubland,0,0,0,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRT_M_R,Water,0,0,0,0,0,0,143,0,212,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRT_M_R,Cropland,0,0,0,0,0,0,0,0,62,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRT_M_R,Built-up,0,0,0,0,0,7,7,0,57,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRT_M_R,Forest,0,0,0,0,0,73,83,0,462,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRT_M_R,Bareland,0,0,0,0,0,8,1,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRT_M_R,Grassland,0,0,0,0,0,114,0,0,0,64,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRT_M_R,Shrubland,0,0,0,0,0,7,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRT_M_R,Cropland,0,0,0,0,0,15,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRT_M_R,Wetland,0,0,0,0,0,19,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRT_M_R,Bareland,0,0,0,0,0,9,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRT_M_R,Built-up,0,0,0,0,0,43,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRT_M_R,Water,0,0,0,0,0,0,0,0,0,339,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRT_M_R,Forest,0,0,0,0,0,253,0,0,0,155,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRT_M_R,Grassland,0,229,414,49,152,11,24,407,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRT_M_R,Bareland,3,45,225,0,171,8,1,145,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRT_M_R,Water,32,228,381,147,249,0,143,495,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRT_M_R,Forest,131,0,484,72,243,73,83,719,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRT_M_R,Built-up,14,92,226,27,0,7,7,224,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRT_M_R,Cropland,23,118,0,11,87,0,0,204,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRT_M_R,Wetland,2,11,16,1,1,0,0,43,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRT_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRT_M_R,Permanent_ice_and_snow,0,0,5,0,2,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRT_M_R,Grassland,0,144,316,10,240,126,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRT_M_R,Forest,0,0,350,9,479,273,28,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRT_M_R,Bareland,0,29,53,0,182,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRT_M_R,Built-up,0,21,73,19,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRT_M_R,Water,0,115,157,5,249,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRT_M_R,Shrubland,0,0,3,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRT_M_R,Wetland,0,4,4,0,12,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRT_M_R,Cropland,0,43,0,5,130,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRT_M_R,Permanent_ice_and_snow,0,0,2,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRT_M_R,Water,64,413,10,13,0,0,64,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRT_M_R,Forest,95,0,161,71,0,167,27,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRT_M_R,Cropland,54,89,0,51,0,20,0,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRT_M_R,Bareland,6,46,16,0,0,18,2,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRT_M_R,Wetland,6,53,0,0,0,26,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRT_M_R,Built-up,68,204,133,71,0,60,0,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRT_M_R,Grassland,0,237,137,82,0,102,39,0,0,0,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRT_M_R,Shrubland,0,8,3,1,0,0,0,0,0,0,0,0
