Dataset,MajorityClass,Grassland,Cropland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQU_M_R,Permanent_ice_and_snow,11,11,0,0,13,3,3,0,9,0,0,24
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQU_M_R,Grassland,0,36,10,0,13,36,25,0,25,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQU_M_R,Wetland,0,9,0,0,7,16,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQU_M_R,Bareland,0,44,5,0,0,55,34,0,9,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQU_M_R,Built-up,0,5,1,0,4,0,3,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQU_M_R,Water,0,65,13,0,86,91,0,2,36,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQU_M_R,Forest,0,39,15,0,25,49,53,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQU_M_R,Cropland,0,0,5,0,15,38,15,0,17,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQU_M_R,Permanent_ice_and_snow,0,1,1,0,17,13,12,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQU_M_R,Water,22,11,3,0,59,0,0,19,59,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQU_M_R,Cropland,19,0,0,0,21,0,15,3,15,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQU_M_R,Wetland,3,2,0,0,11,0,21,1,17,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQU_M_R,Bareland,3,6,1,0,0,0,25,9,9,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQU_M_R,Built-up,16,12,0,0,11,0,10,9,12,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQU_M_R,Permanent_ice_and_snow,1,0,1,0,2,0,8,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQU_M_R,Forest,18,11,1,0,18,0,25,14,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQU_M_R,Grassland,0,5,1,0,6,0,6,3,5,0,0,0
