Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBV_M_R
33,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
34,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
35,Bareland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
36,Bareland,Water,Water,NULL,Water,NULL,NULL,NULL
37,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
38,Water,Bareland,Water,NULL,Water,NULL,NULL,NULL
39,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
40,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
41,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
42,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
43,Water,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
44,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
45,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
46,Water,Water,Water,NULL,Water,NULL,NULL,NULL
47,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
48,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
49,Water,Forest,Water,NULL,Water,NULL,NULL,NULL
50,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
51,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,NULL
52,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
53,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
54,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
55,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
56,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
57,Forest,NULL,Water,NULL,Water,NULL,NULL,NULL
58,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
59,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
60,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
61,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
62,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
63,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
64,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
65,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
66,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
67,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
68,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
69,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
70,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
71,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
72,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
73,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
74,Forest,Water,Water,NULL,Water,NULL,NULL,NULL
75,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
76,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
77,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
78,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
79,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
80,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
81,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
82,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
83,Forest,Forest,Water,NULL,Water,NULL,NULL,NULL
84,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
