Dataset,MajorityClass,Non_Wetland,Wetland,Water,Bareland,Forest,Grassland,Built-up,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCQ_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCQ_M_R,Wetland,0,0,1,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCQ_M_R,Bareland,0,0,10,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCQ_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCQ_M_R,Water,0,0,0,0,0,0,0,0,0,0,193,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCQ_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCQ_M_R,Wetland,0,0,20,0,0,0,0,0,0,0,30,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCQ_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCQ_M_R,Forest,0,0,214,0,0,0,0,0,0,0,142,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCQ_M_R,Bareland,0,0,3,0,5,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCQ_M_R,Water,0,4,0,19,138,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCQ_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCQ_M_R,Wetland,0,0,38,0,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCQ_M_R,Forest,0,12,183,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCQ_M_R,Built-up,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCQ_M_R,Wetland,0,0,7,1,93,4,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCQ_M_R,Water,0,0,0,67,418,20,0,0,14,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCQ_M_R,Forest,0,0,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCQ_M_R,Bareland,0,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCQ_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCQ_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0,0
