Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQH_M_R,Cropland,0,0,0,0,0,32,0,0,0,13,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQH_M_R,Grassland,223,860,132,33,218,199,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQH_M_R,Forest,0,451,164,14,204,279,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQH_M_R,Shrubland,3,16,0,0,11,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQH_M_R,Wetland,210,578,0,45,38,255,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQH_M_R,Bareland,35,143,11,0,69,36,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQH_M_R,Built-up,0,23,1,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQH_M_R,Water,192,374,244,188,55,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQH_M_R,Cropland,9,0,0,0,22,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQH_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQH_M_R,Forest,0,138,123,132,0,215,171,0,0,0,24
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQH_M_R,Cropland,28,0,10,93,0,7,45,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQH_M_R,Shrubland,14,6,4,9,0,3,4,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQH_M_R,Wetland,389,148,0,223,0,383,235,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQH_M_R,Bareland,9,12,3,0,0,13,8,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQH_M_R,Built-up,47,50,0,40,0,3,22,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQH_M_R,Water,344,52,325,309,0,0,189,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQH_M_R,Grassland,301,195,186,263,0,218,0,0,0,0,36
