Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Grassland,Water,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNV_M_R,Bareland,0,0,0,1,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNV_M_R,Built-up,0,0,0,0,0,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,Wetland,16,0,0,0,103,395,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,Non_Wetland,0,0,0,3,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,Forest,0,0,0,420,268,244,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,Grassland,0,0,0,72,0,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,Water,34,0,0,490,95,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,Shrubland,0,0,0,3,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,Bareland,0,0,0,6,2,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,Built-up,0,0,0,11,38,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNV_M_R,Grassland,0,0,0,0,0,38,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNV_M_R,Water,0,0,0,0,0,0,0,231,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNV_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNV_M_R,Wetland,0,0,0,0,0,444,0,210,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNV_M_R,Built-up,0,0,0,0,0,7,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNV_M_R,Bareland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNV_M_R,Forest,0,0,0,0,0,218,0,68,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNV_M_R,Grassland,41,29,19,11,0,4,0,0,41,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNV_M_R,Forest,0,142,87,133,105,44,0,0,131,50,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNV_M_R,Wetland,102,128,43,0,77,62,0,0,84,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNV_M_R,Water,151,188,93,246,134,0,0,0,111,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNV_M_R,Built-up,0,2,0,0,0,0,0,0,12,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNV_M_R,Bareland,1,0,5,1,0,0,0,0,2,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNV_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNV_M_R,Water,214,26,46,335,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNV_M_R,Grassland,44,0,49,21,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNV_M_R,Forest,0,2,83,127,0,157,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNV_M_R,Wetland,219,1,41,0,0,122,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNV_M_R,Bareland,1,0,3,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNV_M_R,Built-up,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNV_M_R,Wetland,486,7,0,0,170,203,0,0,0,14,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNV_M_R,Water,489,23,0,61,69,0,0,0,0,4,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNV_M_R,Forest,0,5,0,1,11,15,0,0,0,8,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNV_M_R,Grassland,66,4,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNV_M_R,Built-up,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNV_M_R,Bareland,2,0,0,0,0,0,0,0,0,0,0,0
