Dataset,MajorityClass,Wetland,Forest,Grassland,Bareland,Water,Built-up,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBC_M_R,Water,398,0,0,0,0,0,0,599,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBC_M_R,Shrubland,0,0,0,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBC_M_R,Cropland,1,0,0,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBC_M_R,Bareland,4,0,0,0,0,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBC_M_R,Built-up,19,0,0,0,0,0,0,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,Wetland,0,98,472,193,704,4,60,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,Non_Wetland,6,0,2,4,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,Forest,414,0,308,87,115,4,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,Grassland,250,16,0,86,50,12,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,Water,658,59,97,53,0,10,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,Shrubland,9,0,4,9,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,Cropland,13,1,17,13,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,Bareland,10,0,18,0,5,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,Built-up,14,0,30,40,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBC_M_R,Grassland,0,0,0,0,134,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBC_M_R,Wetland,0,0,0,0,973,0,0,0,489,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBC_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBC_M_R,Water,0,0,0,0,0,0,0,0,324,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBC_M_R,Built-up,0,0,0,0,14,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBC_M_R,Forest,0,0,0,0,156,0,0,0,52,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBC_M_R,Cropland,0,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBC_M_R,Bareland,0,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBC_M_R,Grassland,89,115,0,61,10,24,8,0,0,161,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBC_M_R,Wetland,0,165,200,292,175,46,0,0,0,243,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBC_M_R,Forest,147,0,219,153,44,37,15,0,0,147,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBC_M_R,Bareland,4,2,15,0,0,15,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBC_M_R,Built-up,19,10,22,1,0,0,0,0,0,38,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBC_M_R,Water,398,125,92,218,0,31,0,0,0,123,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBC_M_R,Cropland,1,11,7,1,0,2,0,0,0,16,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBC_M_R,Grassland,111,112,0,7,32,90,115,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBC_M_R,Wetland,0,336,0,23,306,73,164,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBC_M_R,Forest,105,0,0,2,141,58,61,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBC_M_R,Bareland,5,6,0,0,4,8,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBC_M_R,Water,449,154,0,39,0,12,50,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBC_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBC_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBC_M_R,Wetland,0,778,560,141,394,0,229,0,0,0,0,30
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBC_M_R,Forest,2,0,45,23,16,0,46,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBC_M_R,Water,133,385,209,55,0,0,69,0,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBC_M_R,Bareland,0,1,3,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBC_M_R,Grassland,18,157,0,26,25,0,81,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBC_M_R,Built-up,0,2,0,0,0,0,8,0,0,0,0,0
