Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUM_M_R,Bareland,0,0,0,0,1,0,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUM_M_R,Built-up,0,0,0,0,0,0,5,0,19,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUM_M_R,Grassland,0,0,0,0,312,0,0,0,0,187,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUM_M_R,Shrubland,0,0,0,0,104,0,0,0,0,98,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUM_M_R,Bareland,0,0,0,0,38,0,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUM_M_R,Water,0,0,0,0,0,0,0,0,0,1081,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUM_M_R,Cropland,0,0,0,0,77,0,0,0,0,53,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUM_M_R,Built-up,0,0,0,0,10,0,0,0,0,22,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUM_M_R,Wetland,0,0,0,0,188,0,0,0,0,159,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUM_M_R,Forest,0,0,0,0,497,0,0,0,0,408,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUM_M_R,Permanent_ice_and_snow,0,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUM_M_R,Grassland,0,763,91,202,38,482,62,604,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUM_M_R,Built-up,74,280,14,0,0,130,5,209,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUM_M_R,Forest,440,829,99,200,76,0,310,708,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUM_M_R,Bareland,9,213,0,59,1,58,0,99,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUM_M_R,Water,211,941,162,199,0,782,625,884,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUM_M_R,Shrubland,50,103,12,28,0,72,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUM_M_R,Cropland,137,0,10,79,3,220,2,227,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUM_M_R,Wetland,20,139,16,10,3,96,0,97,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUM_M_R,Permanent_ice_and_snow,13,62,0,4,0,27,0,27,0,0,0,0
