Dataset,MajorityClass,Grassland,Bareland,Cropland,Built-up,Wetland,Water,Forest,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKR_M_R,Non_Wetland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKR_M_R,Cropland,316,81,0,83,30,4,163,0,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKR_M_R,Bareland,194,0,0,78,10,24,113,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKR_M_R,Built-up,93,88,0,0,10,2,32,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKR_M_R,Water,393,19,0,2,152,0,284,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKR_M_R,Forest,683,119,0,96,325,144,0,0,27,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKR_M_R,Shrubland,9,5,0,8,3,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKR_M_R,Wetland,242,16,0,2,0,163,200,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKR_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKR_M_R,Forest,634,625,210,66,113,330,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKR_M_R,Grassland,0,395,303,87,40,77,110,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKR_M_R,Built-up,91,178,80,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKR_M_R,Water,171,282,50,0,62,0,117,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKR_M_R,Shrubland,15,23,13,4,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKR_M_R,Bareland,34,0,119,17,1,6,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKR_M_R,Wetland,161,192,10,0,0,326,92,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKR_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKR_M_R,Cropland,135,193,0,67,0,1,63,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKR_M_R,Grassland,0,0,0,0,0,132,0,0,0,42,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKR_M_R,Cropland,0,0,0,0,0,60,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKR_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKR_M_R,Wetland,0,0,0,0,0,75,0,0,0,119,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKR_M_R,Water,0,0,0,0,0,0,0,0,0,219,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKR_M_R,Forest,0,0,0,0,0,138,0,0,0,129,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKR_M_R,Bareland,0,0,0,0,0,14,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKR_M_R,Grassland,0,136,10,104,123,26,220,0,347,0,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKR_M_R,Bareland,154,0,0,98,15,4,54,0,191,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKR_M_R,Built-up,100,19,0,0,6,0,41,0,126,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKR_M_R,Forest,463,305,7,136,344,109,0,0,380,0,33,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKR_M_R,Cropland,253,53,0,105,24,7,170,0,268,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKR_M_R,Water,155,182,0,13,314,0,165,0,157,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKR_M_R,Wetland,40,62,0,0,0,19,80,0,25,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKR_M_R,Grassland,0,34,607,155,103,142,207,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKR_M_R,Forest,0,3,416,157,255,336,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKR_M_R,Bareland,0,0,226,80,4,39,46,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKR_M_R,Built-up,0,7,69,0,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKR_M_R,Shrubland,0,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKR_M_R,Wetland,0,0,56,21,0,154,91,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKR_M_R,Water,0,7,88,5,118,0,74,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKR_M_R,Cropland,0,19,0,35,0,10,35,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKR_M_R,Forest,104,134,145,0,72,92,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKR_M_R,Cropland,55,136,0,0,0,11,37,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKR_M_R,Bareland,11,0,32,0,0,34,65,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKR_M_R,Built-up,12,45,84,0,0,0,119,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKR_M_R,Wetland,35,11,2,0,0,108,278,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKR_M_R,Water,25,15,4,0,174,0,243,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKR_M_R,Grassland,0,166,164,0,83,122,331,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKR_M_R,Shrubland,0,0,1,0,0,1,3,0,0,0,0,0
