Dataset,MajorityClass,Cropland,Forest,Built-up,Bareland,Water,Grassland,Wetland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCU_M_R,Grassland,218,162,98,12,10,0,6,0,194,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCU_M_R,Cropland,0,260,219,23,31,73,7,0,273,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCU_M_R,Wetland,16,30,1,1,3,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCU_M_R,Bareland,70,12,105,0,10,1,0,0,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCU_M_R,Built-up,192,93,0,11,15,26,0,0,122,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCU_M_R,Forest,469,0,209,65,69,135,126,0,269,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCU_M_R,Water,273,329,65,76,0,34,124,0,53,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCU_M_R,Forest,0,0,0,0,153,0,0,0,0,0,183
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCU_M_R,Water,0,0,0,0,0,0,0,0,0,0,278
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCU_M_R,Cropland,0,0,0,0,47,0,0,0,0,0,37
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCU_M_R,Bareland,0,0,0,0,8,0,0,0,0,0,7
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCU_M_R,Built-up,0,0,0,0,16,0,0,0,0,0,9
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCU_M_R,Wetland,0,0,0,0,12,0,0,0,0,0,35
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCU_M_R,Grassland,0,0,0,0,15,0,0,0,0,0,7
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCU_M_R,Grassland,406,107,152,0,9,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCU_M_R,Built-up,134,13,0,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCU_M_R,Forest,612,0,343,0,311,0,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCU_M_R,Wetland,69,9,11,0,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCU_M_R,Bareland,94,3,63,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCU_M_R,Water,403,60,84,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCU_M_R,Cropland,0,79,215,1,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCU_M_R,Cropland,0,192,0,26,61,125,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCU_M_R,Wetland,4,53,0,0,18,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCU_M_R,Forest,124,0,0,6,96,91,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCU_M_R,Built-up,167,147,0,22,27,56,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCU_M_R,Water,38,289,0,1,0,28,60,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCU_M_R,Bareland,16,13,0,0,11,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCU_M_R,Grassland,92,120,0,1,10,0,0,0,0,0,0
