Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Water,Shrubland,Non_Wetland,Built-up,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWB_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWB_M_R,Shrubland,0,0,0,0,0,0,39,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWB_M_R,Grassland,0,0,30,0,1,0,113,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWB_M_R,Wetland,0,0,0,0,1,0,72,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWB_M_R,Water,0,0,106,0,0,0,103,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWB_M_R,Forest,0,0,116,0,47,0,265,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWB_M_R,Bareland,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWB_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWB_M_R,Grassland,0,56,30,0,1,160,0,3,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWB_M_R,Wetland,0,8,0,0,1,62,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWB_M_R,Forest,1,0,116,0,47,178,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWB_M_R,Water,2,75,106,0,0,98,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWB_M_R,Bareland,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWB_M_R,Shrubland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWB_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWB_M_R,Shrubland,13,2,17,7,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWB_M_R,Wetland,59,4,0,3,40,38,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWB_M_R,Forest,122,0,137,15,86,119,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWB_M_R,Grassland,0,2,59,11,7,36,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWB_M_R,Water,51,19,94,32,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWB_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWB_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWB_M_R,Grassland,0,0,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWB_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWB_M_R,Wetland,0,0,0,0,35,0,0,0,0,17,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWB_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWB_M_R,Water,0,0,0,0,0,0,0,0,0,63,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWB_M_R,Forest,0,0,0,0,85,0,0,0,0,46,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWB_M_R,Shrubland,0,11,0,0,1,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWB_M_R,Grassland,0,46,0,2,14,0,0,1,16,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWB_M_R,Wetland,0,36,0,1,56,0,0,1,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWB_M_R,Water,0,38,1,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWB_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWB_M_R,Forest,0,0,4,2,135,0,0,1,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWB_M_R,Shrubland,17,17,2,1,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWB_M_R,Wetland,46,93,0,3,32,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWB_M_R,Forest,36,0,7,0,11,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWB_M_R,Water,2,177,19,5,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWB_M_R,Grassland,0,19,6,9,5,0,0,0,7,0,0
