Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Water,Grassland,Cropland,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPL_M_R,Built-up,2,21,0,5,3,50,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPL_M_R,Water,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPL_M_R,Cropland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPL_M_R,Bareland,0,0,9,3,0,8,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPL_M_R,Permanent_ice_and_snow,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPL_M_R,Grassland,55,5,29,6,3,0,11,0,122,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPL_M_R,Forest,0,21,42,29,11,69,25,0,189,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPL_M_R,Wetland,17,17,5,0,13,18,1,0,47,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPL_M_R,Bareland,29,0,32,25,20,39,10,0,119,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPL_M_R,Built-up,26,4,0,0,4,13,10,0,74,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPL_M_R,Water,58,25,12,48,0,48,13,0,109,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPL_M_R,Cropland,4,2,4,0,0,5,0,0,35,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPL_M_R,Permanent_ice_and_snow,2,1,2,0,0,5,1,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPL_M_R,Shrubland,0,0,0,0,5,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPL_M_R,Grassland,0,0,0,0,39,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPL_M_R,Cropland,0,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPL_M_R,Wetland,0,0,0,0,122,0,0,0,0,14,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPL_M_R,Bareland,0,0,0,0,68,0,0,0,0,13,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPL_M_R,Built-up,0,0,0,0,7,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPL_M_R,Water,0,0,0,0,0,0,0,0,0,76,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPL_M_R,Forest,0,0,0,0,83,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPL_M_R,Permanent_ice_and_snow,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPL_M_R,Water,24,44,38,85,0,0,5,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPL_M_R,Grassland,36,5,73,27,14,0,17,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPL_M_R,Wetland,12,6,18,0,24,0,9,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPL_M_R,Bareland,17,0,36,18,23,0,7,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPL_M_R,Forest,0,9,114,39,41,0,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPL_M_R,Shrubland,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPL_M_R,Cropland,2,0,5,5,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPL_M_R,Permanent_ice_and_snow,1,3,6,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPL_M_R,Wetland,48,28,0,0,32,20,5,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPL_M_R,Water,69,75,0,27,0,29,9,0,0,0,20
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPL_M_R,Forest,0,30,0,2,14,18,17,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPL_M_R,Grassland,52,31,0,2,4,0,15,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPL_M_R,Built-up,14,21,0,2,0,0,8,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPL_M_R,Bareland,4,0,0,0,8,0,3,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPL_M_R,Shrubland,2,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPL_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
