Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Wetland,Grassland,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDN_M_R,Shrubland,0,0,0,0,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDN_M_R,Cropland,0,15,2,1,27,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDN_M_R,Wetland,18,21,2,80,0,54,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDN_M_R,Built-up,1,76,0,8,48,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDN_M_R,Grassland,0,0,0,23,35,0,0,0,262,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDN_M_R,Wetland,0,0,0,21,0,0,0,0,62,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDN_M_R,Forest,0,0,0,100,277,0,0,0,792,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDN_M_R,Water,0,0,0,0,379,0,0,0,332,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDN_M_R,Shrubland,0,0,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDN_M_R,Bareland,0,0,0,3,20,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDN_M_R,Cropland,0,0,0,0,0,0,0,0,29,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDN_M_R,Built-up,0,0,0,12,5,0,0,0,70,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDN_M_R,Non_Wetland,0,1,2,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDN_M_R,Forest,0,320,66,242,433,455,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDN_M_R,Grassland,1,108,43,49,101,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDN_M_R,Water,49,253,54,0,310,235,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDN_M_R,Shrubland,0,2,1,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDN_M_R,Cropland,0,31,14,15,3,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDN_M_R,Wetland,8,66,6,98,0,95,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDN_M_R,Bareland,0,0,2,19,3,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDN_M_R,Built-up,0,62,0,23,22,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDN_M_R,Grassland,0,0,0,147,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDN_M_R,Wetland,0,0,0,250,0,0,0,0,0,89,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDN_M_R,Cropland,0,0,0,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDN_M_R,Built-up,0,0,0,41,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDN_M_R,Water,0,0,0,0,0,0,0,0,0,233,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDN_M_R,Forest,0,0,0,440,0,0,0,0,0,183,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDN_M_R,Bareland,0,0,0,39,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDN_M_R,Grassland,111,47,94,23,35,0,119,43,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDN_M_R,Wetland,16,16,1,21,0,5,4,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDN_M_R,Bareland,5,0,20,3,20,3,34,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDN_M_R,Water,180,185,71,0,379,92,144,25,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDN_M_R,Forest,0,199,129,100,277,113,236,59,0,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDN_M_R,Built-up,26,7,0,12,5,12,62,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDN_M_R,Cropland,6,0,3,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDN_M_R,Grassland,78,0,84,37,18,0,91,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDN_M_R,Bareland,8,0,22,7,3,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDN_M_R,Built-up,2,1,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDN_M_R,Water,223,78,36,0,69,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDN_M_R,Forest,0,2,103,288,21,0,45,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDN_M_R,Wetland,119,14,33,120,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDN_M_R,Cropland,6,0,3,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDN_M_R,Water,684,113,0,0,30,74,70,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDN_M_R,Bareland,18,0,0,1,0,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDN_M_R,Wetland,312,9,0,50,0,70,54,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDN_M_R,Built-up,46,6,0,2,0,4,12,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDN_M_R,Forest,0,3,0,13,1,11,10,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDN_M_R,Grassland,191,9,0,36,7,0,33,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDN_M_R,Cropland,9,1,0,0,0,0,0,0,0,0,0,0
