Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Grassland,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTT_M_R,Forest,0,0,0,215,0,72,936,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTT_M_R,Water,0,0,0,294,0,0,566,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTT_M_R,Shrubland,0,0,0,0,0,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTT_M_R,Bareland,0,0,0,19,0,2,72,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTT_M_R,Built-up,0,0,0,4,0,0,74,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTT_M_R,Cropland,0,0,0,1,0,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,Non_Wetland,0,2,0,12,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,Forest,0,343,85,603,510,220,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,Grassland,13,195,45,131,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,Non_Water,0,1,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,Water,32,163,5,553,106,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,Shrubland,0,14,2,13,7,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,Bareland,0,0,24,40,44,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,Wetland,10,68,0,0,113,278,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,Built-up,0,109,0,33,68,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,Cropland,0,20,3,9,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,Permanent_ice_and_snow,0,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTT_M_R,Grassland,0,0,0,0,0,46,0,29,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTT_M_R,Water,0,0,0,0,0,0,0,246,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTT_M_R,Forest,0,0,0,0,0,225,0,106,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTT_M_R,Wetland,0,0,0,0,0,301,0,182,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTT_M_R,Bareland,0,0,0,0,0,35,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTT_M_R,Shrubland,0,0,0,0,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTT_M_R,Built-up,0,0,0,0,0,4,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTT_M_R,Grassland,76,51,79,44,0,2,0,0,230,20,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTT_M_R,Forest,0,237,103,215,212,72,0,0,349,29,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTT_M_R,Wetland,39,84,13,0,17,43,0,0,88,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTT_M_R,Bareland,23,0,68,19,52,2,0,0,98,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTT_M_R,Built-up,15,3,0,4,29,0,0,0,74,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTT_M_R,Water,127,208,59,294,61,0,0,0,214,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTT_M_R,Cropland,8,1,2,1,4,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTT_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTT_M_R,Grassland,107,6,144,36,0,115,0,0,0,0,142,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTT_M_R,Forest,0,5,209,232,0,344,0,0,0,0,55,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTT_M_R,Bareland,36,0,68,10,0,45,0,0,0,0,18,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTT_M_R,Wetland,116,14,85,0,0,188,0,0,0,0,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTT_M_R,Built-up,4,3,0,0,0,9,0,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTT_M_R,Water,75,55,36,273,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTT_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTT_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTT_M_R,Wetland,477,44,0,0,70,176,0,0,0,0,30,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTT_M_R,Forest,0,47,0,2,19,38,0,0,0,0,48,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTT_M_R,Bareland,38,0,0,0,4,8,0,0,0,0,5,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTT_M_R,Water,441,123,0,58,27,0,0,0,0,0,8,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTT_M_R,Built-up,72,18,0,0,3,3,0,0,0,0,4,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTT_M_R,Grassland,219,66,0,15,0,48,0,0,0,0,77,8
