Dataset,MajorityClass,Forest,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRD_M_R,Bareland,0,0,13,0,0,0,0,0,147,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRD_M_R,Built-up,0,0,0,0,0,0,0,0,57,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRD_M_R,Grassland,0,0,0,0,118,0,0,0,0,67,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRD_M_R,Water,0,0,0,0,0,0,0,0,0,506,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRD_M_R,Forest,0,0,0,0,496,0,0,0,0,281,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRD_M_R,Wetland,0,0,0,0,400,0,0,0,0,341,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRD_M_R,Shrubland,0,0,0,0,5,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRD_M_R,Bareland,0,0,0,0,70,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRD_M_R,Built-up,0,0,0,0,9,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRD_M_R,Cropland,0,0,0,0,1,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRD_M_R,Grassland,114,74,60,119,16,0,233,41,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRD_M_R,Bareland,20,82,13,0,0,11,94,2,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRD_M_R,Forest,0,199,300,393,109,313,496,52,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRD_M_R,Wetland,97,45,0,168,60,106,161,4,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRD_M_R,Water,262,174,365,393,0,271,404,2,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRD_M_R,Cropland,6,7,0,2,0,1,18,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRD_M_R,Built-up,12,0,0,3,0,3,48,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRD_M_R,Permanent_ice_and_snow,0,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRD_M_R,Grassland,103,74,64,10,55,0,0,64,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRD_M_R,Forest,0,121,403,28,498,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRD_M_R,Bareland,10,37,7,0,31,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRD_M_R,Wetland,175,83,0,56,173,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRD_M_R,Water,242,49,540,134,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRD_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRD_M_R,Cropland,1,1,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRD_M_R,Permanent_ice_and_snow,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRD_M_R,Forest,0,0,11,30,69,62,0,44,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRD_M_R,Wetland,622,0,0,104,179,178,0,23,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRD_M_R,Water,852,0,132,280,0,101,0,51,0,0,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRD_M_R,Cropland,5,0,0,1,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRD_M_R,Built-up,25,0,0,4,1,1,0,1,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRD_M_R,Grassland,223,0,28,24,35,0,0,33,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRD_M_R,Bareland,23,0,1,0,2,0,0,1,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRD_M_R,Shrubland,3,0,0,0,0,0,0,0,0,0,0,0
