Dataset,MajorityClass,Forest,Built-up,Wetland,Water,Grassland,Bareland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,Shrubland,2,0,7,1,5,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,Wetland,23,0,0,267,108,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,Cropland,2,0,5,0,24,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,Built-up,0,0,11,5,12,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,Permanent_ice_and_snow,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,Non_Wetland,0,0,8,2,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,Forest,0,0,502,230,495,145,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,Grassland,0,0,100,29,0,79,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,Water,26,0,468,0,253,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,Shrubland,0,0,5,2,5,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,Wetland,17,0,0,158,227,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,Cropland,0,0,3,2,12,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,Bareland,0,0,5,3,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,Built-up,0,0,4,1,29,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,Permanent_ice_and_snow,0,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,Grassland,0,0,48,5,0,0,0,261,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,Wetland,0,0,0,40,0,0,0,322,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,Forest,0,0,187,70,0,0,0,915,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,Water,0,0,252,0,0,0,0,539,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,Shrubland,0,0,0,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,Cropland,0,0,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,Bareland,0,0,7,1,0,0,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,Built-up,0,0,0,0,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRV_M_R,Forest,0,0,0,296,0,0,0,0,97,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRV_M_R,Grassland,0,0,0,92,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRV_M_R,Wetland,0,0,0,318,0,0,0,0,172,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRV_M_R,Water,0,0,0,0,0,0,0,0,220,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRV_M_R,Bareland,0,0,0,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRV_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRV_M_R,Forest,0,107,187,70,161,210,192,0,0,61,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRV_M_R,Grassland,86,36,48,5,0,81,114,0,0,42,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRV_M_R,Wetland,37,31,0,40,31,87,57,0,0,5,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRV_M_R,Bareland,5,8,7,1,4,0,11,0,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRV_M_R,Water,141,104,252,0,110,187,117,0,0,5,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRV_M_R,Built-up,3,0,0,0,3,2,11,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRV_M_R,Cropland,1,3,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRV_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRV_M_R,Grassland,77,68,48,36,0,0,0,0,0,62,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRV_M_R,Forest,0,64,153,268,0,1,0,0,0,15,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRV_M_R,Bareland,5,11,1,2,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRV_M_R,Water,171,17,167,0,0,43,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRV_M_R,Wetland,173,15,0,151,0,5,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRV_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRV_M_R,Wetland,525,0,0,175,93,2,0,0,0,3,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRV_M_R,Forest,0,0,2,31,14,2,0,0,0,19,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRV_M_R,Water,531,0,39,0,43,31,0,0,0,3,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRV_M_R,Grassland,167,0,7,29,0,10,0,0,0,27,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRV_M_R,Bareland,4,0,0,2,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRV_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRV_M_R,Built-up,5,0,0,1,0,0,0,0,0,0,0,0
