Dataset,MajorityClass,Shrubland,Grassland,Wetland,Bareland,Water,Forest,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Cropland,0,171,45,35,0,60,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Permanent_ice_and_snow,0,42,6,14,12,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Non_Wetland,8,7,16,9,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Grassland,357,0,158,279,3,44,66,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Bareland,361,736,119,0,36,36,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Built-up,294,178,92,343,6,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Forest,1331,748,700,875,57,0,221,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Wetland,1091,1375,0,1320,314,557,35,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Water,338,820,425,1176,0,223,21,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Shrubland,0,35,21,39,2,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Cropland,94,90,45,91,0,2,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Lichens_and_Mosses,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,Permanent_ice_and_snow,40,11,3,40,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPT_M_R,Shrubland,0,0,0,0,0,0,0,0,191,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPT_M_R,Grassland,0,0,56,0,2,0,0,0,726,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPT_M_R,Wetland,0,0,0,0,96,0,0,0,1915,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPT_M_R,Forest,0,0,597,0,61,0,0,0,2016,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPT_M_R,Bareland,0,0,493,0,131,0,0,0,1195,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPT_M_R,Water,0,0,822,0,0,0,0,0,744,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPT_M_R,Cropland,0,0,11,0,0,0,0,0,110,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPT_M_R,Built-up,0,0,103,0,1,0,0,0,250,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPT_M_R,Permanent_ice_and_snow,0,0,3,0,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPT_M_R,Grassland,0,0,0,0,133,0,0,0,0,52,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPT_M_R,Bareland,0,0,0,0,839,0,0,0,0,434,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPT_M_R,Wetland,0,0,0,0,1376,0,0,0,0,736,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPT_M_R,Shrubland,0,0,0,0,26,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPT_M_R,Built-up,0,0,0,0,137,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPT_M_R,Cropland,0,0,0,0,29,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPT_M_R,Forest,0,0,0,0,460,0,0,0,0,106,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPT_M_R,Water,0,0,0,0,0,0,0,0,0,484,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPT_M_R,Permanent_ice_and_snow,0,0,0,0,9,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPT_M_R,Grassland,167,0,58,83,2,245,48,273,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPT_M_R,Wetland,232,219,0,191,98,360,79,436,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPT_M_R,Bareland,304,245,537,0,153,375,259,776,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPT_M_R,Forest,391,765,615,359,68,0,220,666,0,0,41,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPT_M_R,Built-up,121,176,107,64,1,114,0,276,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPT_M_R,Water,193,136,898,244,0,357,94,386,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPT_M_R,Shrubland,0,24,0,14,0,12,2,36,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPT_M_R,Cropland,10,22,11,6,0,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPT_M_R,Permanent_ice_and_snow,5,16,3,4,0,9,11,39,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPT_M_R,Forest,0,0,768,58,282,0,722,213,0,0,0,54
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPT_M_R,Grassland,0,0,268,39,58,136,328,161,0,0,0,22
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPT_M_R,Wetland,0,0,0,237,643,707,788,230,0,0,0,71
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPT_M_R,Bareland,0,0,296,0,290,135,328,31,0,0,0,286
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPT_M_R,Shrubland,0,0,64,9,7,17,78,6,0,0,0,11
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPT_M_R,Built-up,0,0,43,7,11,29,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPT_M_R,Water,0,0,428,321,0,74,298,31,0,0,0,96
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPT_M_R,Cropland,0,0,9,2,0,3,19,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPT_M_R,Permanent_ice_and_snow,0,0,5,0,0,2,18,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPT_M_R,Wetland,0,163,0,313,951,1442,0,144,0,0,0,26
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPT_M_R,Forest,0,67,129,50,147,0,0,75,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPT_M_R,Shrubland,0,6,43,11,16,131,0,4,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPT_M_R,Cropland,0,1,6,3,2,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPT_M_R,Bareland,0,2,369,0,384,253,0,35,0,0,0,175
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPT_M_R,Built-up,0,1,10,28,28,246,0,25,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPT_M_R,Water,0,5,242,183,0,233,0,11,0,0,0,33
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPT_M_R,Grassland,0,0,184,83,153,439,0,96,0,0,0,24
