Dataset,MajorityClass,Cropland,Water,Forest,Built-up,Wetland,Bareland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKP_M_R,Water,0,0,0,0,197,0,0,0,308,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKP_M_R,Shrubland,0,0,0,0,0,0,0,0,55,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKP_M_R,Built-up,0,2,0,0,2,0,0,0,69,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKP_M_R,Cropland,0,6,0,0,6,0,0,0,158,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Grassland,123,29,61,48,76,58,0,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Non_Wetland,0,2,3,2,15,3,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Wetland,38,57,34,25,0,100,8,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Built-up,30,14,19,0,30,76,21,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Forest,185,216,0,155,260,167,110,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Bareland,17,17,29,24,10,0,21,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Non_Water,0,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Water,120,0,158,118,237,242,17,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Shrubland,9,10,14,18,20,24,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Cropland,0,13,69,83,43,87,83,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Lichens_and_Mosses,1,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKP_M_R,Water,0,0,0,0,0,0,0,0,0,524,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKP_M_R,Shrubland,0,6,0,0,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKP_M_R,Bareland,0,78,0,0,0,0,0,0,0,52,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKP_M_R,Grassland,0,46,0,0,0,0,0,0,0,48,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKP_M_R,Cropland,0,37,0,0,0,0,0,0,0,46,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKP_M_R,Built-up,0,32,0,0,0,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKP_M_R,Wetland,0,66,0,0,0,0,0,0,0,103,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKP_M_R,Forest,0,240,0,0,0,0,0,0,0,191,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKP_M_R,Grassland,248,15,138,79,27,47,0,218,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKP_M_R,Wetland,66,3,46,22,0,27,0,72,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKP_M_R,Bareland,182,14,46,157,26,0,0,98,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKP_M_R,Built-up,63,2,25,0,2,11,3,53,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKP_M_R,Forest,327,59,0,138,108,160,61,313,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKP_M_R,Cropland,0,6,74,50,6,20,10,105,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKP_M_R,Water,323,0,215,133,225,210,30,261,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKP_M_R,Shrubland,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKP_M_R,Permanent_ice_and_snow,6,0,0,1,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKP_M_R,Forest,76,103,0,0,6,35,73,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKP_M_R,Cropland,0,31,66,0,9,25,57,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKP_M_R,Wetland,28,111,206,0,0,0,47,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKP_M_R,Built-up,59,47,108,0,3,41,47,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKP_M_R,Water,33,0,346,0,62,35,50,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKP_M_R,Shrubland,4,6,23,0,4,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKP_M_R,Bareland,24,51,66,0,30,0,13,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKP_M_R,Grassland,54,25,103,0,24,16,0,0,0,0,0,1
