Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Cropland,Wetland,Grassland,Non_Wetland,Shrubland,Non_Water
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEV_M_R,Water,0,0,0,0,0,0,0,0,0,81
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEV_M_R,Forest,0,0,0,63,0,0,0,0,0,25
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEV_M_R,Grassland,124,53,44,22,71,58,0,0,203,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEV_M_R,Forest,0,44,69,52,31,117,164,0,174,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEV_M_R,Built-up,16,0,0,2,27,1,33,0,51,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEV_M_R,Bareland,17,34,0,6,24,6,18,0,79,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEV_M_R,Water,110,2,48,0,14,158,75,0,96,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEV_M_R,Wetland,5,0,2,0,0,0,2,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEV_M_R,Cropland,9,6,0,0,0,0,13,0,24,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEV_M_R,Grassland,91,73,10,81,179,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEV_M_R,Bareland,17,11,0,10,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEV_M_R,Forest,0,65,5,157,67,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEV_M_R,Built-up,1,0,2,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEV_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEV_M_R,Wetland,9,2,1,55,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEV_M_R,Cropland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEV_M_R,Water,6,3,0,0,6,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEV_M_R,Forest,0,0,10,44,53,7,49,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEV_M_R,Bareland,26,0,0,11,15,6,14,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEV_M_R,Built-up,43,0,5,4,18,0,12,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEV_M_R,Wetland,62,0,1,47,3,0,17,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEV_M_R,Water,110,0,1,0,1,7,16,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEV_M_R,Grassland,174,0,24,83,87,19,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEV_M_R,Cropland,3,0,0,0,0,0,0,0,0,0
