Dataset,MajorityClass,Bareland,Forest,Wetland,Water,Grassland,Non_Wetland,Shrubland,Built-up,Lichens_and_Mosses,Cropland
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXV_M_R,Wetland,0,0,0,8,0,65,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXV_M_R,Shrubland,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXV_M_R,Grassland,0,0,2,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXV_M_R,Bareland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXV_M_R,Built-up,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXV_M_R,Forest,0,0,27,11,0,121,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXV_M_R,Water,0,0,27,0,0,37,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXV_M_R,Cropland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXV_M_R,Grassland,6,7,2,0,0,0,14,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXV_M_R,Wetland,14,10,0,8,3,0,22,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXV_M_R,Forest,44,0,27,11,35,0,54,9,6,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXV_M_R,Built-up,0,2,0,0,2,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXV_M_R,Water,17,14,27,0,9,0,16,14,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXV_M_R,Cropland,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXV_M_R,Grassland,0,9,0,4,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXV_M_R,Wetland,5,15,0,42,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXV_M_R,Forest,0,0,11,60,0,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXV_M_R,Water,8,6,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXV_M_R,Wetland,0,58,0,20,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXV_M_R,Forest,0,0,0,3,15,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXV_M_R,Grassland,0,11,0,1,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXV_M_R,Water,0,48,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXV_M_R,Built-up,0,2,0,0,0,0,0,0,0,0
