Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Grassland,Wetland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZT_M_R,Forest,0,28,366,158,309,540,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZT_M_R,Shrubland,0,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZT_M_R,Water,102,27,0,99,163,394,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZT_M_R,Cropland,0,2,1,6,9,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZT_M_R,Wetland,3,2,47,3,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZT_M_R,Non_Wetland,0,0,1,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZT_M_R,Forest,0,80,243,230,487,270,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZT_M_R,Grassland,3,61,52,74,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZT_M_R,Shrubland,0,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZT_M_R,Water,52,109,0,137,309,152,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZT_M_R,Cropland,0,3,1,6,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZT_M_R,Wetland,4,3,58,15,77,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZT_M_R,Bareland,0,10,32,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZT_M_R,Built-up,0,0,7,21,25,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZT_M_R,Grassland,153,41,11,13,0,26,0,57,39,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZT_M_R,Wetland,6,2,2,4,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZT_M_R,Bareland,17,13,1,0,25,5,0,4,1,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZT_M_R,Built-up,33,0,13,6,61,5,0,9,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZT_M_R,Water,296,49,0,144,162,243,0,84,11,31,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZT_M_R,Forest,0,67,95,161,165,202,0,100,56,33,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZT_M_R,Cropland,4,1,1,0,4,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZT_M_R,Grassland,0,0,49,0,0,0,0,0,0,0,50
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZT_M_R,Water,0,0,0,0,0,0,0,0,0,0,375
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZT_M_R,Built-up,0,0,41,0,0,0,0,0,0,0,21
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZT_M_R,Wetland,0,0,61,0,0,0,0,0,0,0,69
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZT_M_R,Bareland,0,0,24,0,0,0,0,0,0,0,24
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZT_M_R,Forest,0,0,295,0,0,0,0,0,0,0,230
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZT_M_R,Grassland,61,69,61,31,0,15,0,0,103,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZT_M_R,Bareland,8,10,2,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZT_M_R,Built-up,1,0,0,8,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZT_M_R,Water,202,47,0,110,0,23,0,0,43,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZT_M_R,Forest,0,92,282,34,0,34,0,0,52,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZT_M_R,Wetland,63,3,59,8,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZT_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZT_M_R,Water,577,0,0,102,52,4,0,0,66,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZT_M_R,Built-up,29,0,3,1,6,1,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZT_M_R,Wetland,191,0,38,2,33,0,0,0,10,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZT_M_R,Forest,0,0,35,0,18,0,0,0,13,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZT_M_R,Grassland,153,0,59,2,0,4,0,0,30,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZT_M_R,Bareland,12,0,6,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZT_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
