Dataset,MajorityClass,Grassland,Forest,Wetland,Water,Cropland,Built-up,Bareland,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEM_M_R,Grassland,0,254,165,39,349,22,9,463,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEM_M_R,Wetland,13,264,0,62,48,1,8,298,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEM_M_R,Forest,285,0,753,229,574,63,84,879,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEM_M_R,Bareland,4,17,256,25,162,13,0,98,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEM_M_R,Cropland,5,43,14,0,0,3,1,132,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEM_M_R,Water,71,440,923,0,299,16,85,596,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEM_M_R,Built-up,1,6,1,0,48,0,0,48,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEM_M_R,Shrubland,21,49,0,0,40,2,8,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEM_M_R,Grassland,0,155,205,71,233,49,7,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEM_M_R,Shrubland,0,63,168,60,52,32,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEM_M_R,Wetland,0,327,0,376,72,20,30,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEM_M_R,Forest,0,0,643,592,148,94,20,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEM_M_R,Water,0,158,541,0,23,12,101,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEM_M_R,Bareland,0,69,16,43,8,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEM_M_R,Built-up,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEM_M_R,Cropland,0,16,1,2,0,2,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEM_M_R,Wetland,409,1053,0,438,152,0,189,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEM_M_R,Forest,186,0,79,129,38,0,28,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEM_M_R,Shrubland,110,216,27,73,36,0,30,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEM_M_R,Water,137,779,101,0,43,0,180,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEM_M_R,Bareland,4,40,0,7,24,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEM_M_R,Cropland,31,39,0,1,0,0,27,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEM_M_R,Grassland,0,291,30,36,78,0,80,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEM_M_R,Built-up,0,26,0,2,1,0,0,0,0,0
