Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Cropland,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDG_M_R,Wetland,245,0,1,53,24,306,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDG_M_R,Water,84,172,33,32,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDG_M_R,Built-up,5,3,1,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDG_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDG_M_R,Cropland,4,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDG_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDG_M_R,Wetland,418,0,60,0,77,251,239,0,0,0,58
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDG_M_R,Bareland,66,4,0,0,21,60,38,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDG_M_R,Cropland,2,0,1,0,0,3,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDG_M_R,Forest,0,74,68,0,78,158,83,0,0,0,66
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDG_M_R,Shrubland,2,2,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDG_M_R,Built-up,46,0,21,0,9,11,9,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDG_M_R,Water,359,110,48,0,15,0,62,0,0,0,22
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDG_M_R,Grassland,75,20,30,0,32,38,0,0,0,0,18
