Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Wetland,Grassland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQF_M_R,Forest,0,94,51,42,136,155,0,292,35,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQF_M_R,Bareland,18,42,0,5,27,33,0,105,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQF_M_R,Wetland,37,18,18,43,0,20,0,67,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQF_M_R,Built-up,24,0,5,1,0,18,0,68,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQF_M_R,Water,138,48,27,0,237,61,0,147,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQF_M_R,Cropland,9,1,0,1,0,0,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQF_M_R,Permanent_ice_and_snow,1,8,0,0,0,2,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQF_M_R,Grassland,0,0,0,52,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQF_M_R,Wetland,0,0,0,212,0,0,0,0,0,0,119,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQF_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQF_M_R,Water,0,0,0,0,0,0,0,0,0,0,161,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQF_M_R,Bareland,0,0,0,48,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQF_M_R,Forest,0,0,0,108,0,0,0,0,0,0,56,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQF_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQF_M_R,Grassland,82,119,3,24,2,0,0,0,116,0,0,6
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQF_M_R,Forest,0,140,1,174,25,0,0,0,73,0,0,6
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQF_M_R,Bareland,17,33,0,19,8,0,0,0,13,0,0,17
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQF_M_R,Wetland,119,51,17,115,0,0,0,0,52,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQF_M_R,Built-up,3,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQF_M_R,Water,81,12,51,0,68,0,0,0,33,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQF_M_R,Cropland,2,3,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQF_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQF_M_R,Permanent_ice_and_snow,2,2,0,1,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQF_M_R,Wetland,321,0,82,97,0,59,0,0,45,0,0,43
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQF_M_R,Shrubland,2,0,0,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQF_M_R,Forest,0,0,17,24,13,36,0,0,60,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQF_M_R,Bareland,8,0,0,0,0,3,0,0,3,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQF_M_R,Water,295,0,142,0,33,22,0,0,25,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQF_M_R,Built-up,33,0,5,0,0,1,0,0,8,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQF_M_R,Grassland,138,0,34,36,12,0,0,0,65,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQF_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
