Dataset,MajorityClass,Grassland,Forest,Bareland,Built-up,Wetland,Water,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Non_Water,0,0,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Water,967,204,1135,20,446,0,0,318,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Shrubland,58,6,45,12,44,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Cropland,96,6,68,16,52,5,0,87,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Permanent_ice_and_snow,9,2,47,1,11,0,0,61,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQT_M_R,Grassland,0,0,0,0,0,193,0,0,0,34,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQT_M_R,Bareland,0,0,0,0,0,863,0,0,0,429,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQT_M_R,Shrubland,0,0,0,0,0,51,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQT_M_R,Wetland,0,0,0,0,0,1232,0,0,0,461,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQT_M_R,Built-up,0,0,0,0,0,81,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQT_M_R,Cropland,0,0,0,0,0,52,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQT_M_R,Water,0,0,0,0,0,0,0,0,0,425,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQT_M_R,Forest,0,0,0,0,0,320,0,0,0,58,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQT_M_R,Permanent_ice_and_snow,0,0,0,0,0,6,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQT_M_R,Grassland,0,198,136,80,38,1,341,180,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQT_M_R,Wetland,361,464,326,153,0,113,608,406,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQT_M_R,Bareland,313,395,0,376,367,162,825,387,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQT_M_R,Built-up,172,109,64,0,61,3,238,109,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQT_M_R,Forest,574,0,271,147,332,62,538,299,0,0,34,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQT_M_R,Water,127,363,245,141,657,0,372,268,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQT_M_R,Shrubland,61,31,20,17,0,0,71,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQT_M_R,Cropland,19,15,8,2,3,1,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQT_M_R,Permanent_ice_and_snow,20,12,6,11,3,0,50,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQT_M_R,Shrubland,0,40,14,113,98,16,18,0,0,0,0,10
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQT_M_R,Wetland,0,432,279,527,0,394,58,0,0,0,0,71
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQT_M_R,Forest,0,0,58,371,574,160,72,0,0,0,0,71
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQT_M_R,Grassland,0,78,74,199,271,25,24,0,0,0,0,16
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQT_M_R,Built-up,0,28,11,0,27,7,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQT_M_R,Water,0,40,353,153,458,0,15,0,0,0,0,101
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQT_M_R,Bareland,0,178,0,201,366,217,11,0,0,0,0,320
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQT_M_R,Cropland,0,2,3,11,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQT_M_R,Permanent_ice_and_snow,0,2,0,6,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQT_M_R,Shrubland,24,163,42,0,53,42,24,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQT_M_R,Wetland,205,1154,294,0,0,750,111,0,0,0,0,35
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQT_M_R,Forest,28,0,92,0,102,70,37,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQT_M_R,Water,18,190,165,0,217,0,21,0,0,0,0,30
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQT_M_R,Bareland,15,239,0,0,423,406,46,0,0,0,0,181
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQT_M_R,Built-up,1,175,72,0,21,46,5,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQT_M_R,Grassland,0,296,138,0,191,132,45,0,0,0,0,22
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQT_M_R,Cropland,0,6,2,0,0,0,0,0,0,0,0,0
