Dataset,MajorityClass,Cropland,Bareland,Built-up,Water,Forest,Wetland,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUC_M_R,Wetland,0,0,0,405,0,0,0,0,114,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUC_M_R,Bareland,0,0,0,272,0,0,0,0,58,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUC_M_R,Shrubland,0,0,0,18,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUC_M_R,Cropland,0,0,0,46,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUC_M_R,Built-up,0,0,0,292,0,0,0,0,82,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUC_M_R,Forest,0,0,0,479,0,0,0,0,181,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUC_M_R,Water,0,0,0,0,0,0,0,0,479,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUC_M_R,Grassland,551,44,251,7,311,46,0,0,0,583,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUC_M_R,Wetland,148,22,117,27,230,0,10,0,0,483,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUC_M_R,Bareland,405,0,481,15,106,180,7,0,0,311,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUC_M_R,Forest,663,71,472,114,0,281,131,0,0,893,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUC_M_R,Built-up,363,41,0,38,183,177,43,0,0,386,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUC_M_R,Water,345,184,513,0,393,554,38,0,0,580,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUC_M_R,Cropland,0,4,115,0,130,4,13,0,0,229,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUC_M_R,Permanent_ice_and_snow,4,0,3,0,2,1,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUC_M_R,Grassland,537,25,377,116,167,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUC_M_R,Wetland,248,5,336,214,183,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUC_M_R,Bareland,170,0,358,177,120,81,0,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUC_M_R,Forest,511,37,808,487,0,88,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUC_M_R,Built-up,130,54,0,77,58,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUC_M_R,Water,202,31,632,0,184,84,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUC_M_R,Cropland,0,5,133,17,51,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUC_M_R,Permanent_ice_and_snow,0,0,12,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUC_M_R,Wetland,67,81,0,268,691,0,161,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUC_M_R,Water,16,88,0,0,653,65,98,0,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUC_M_R,Forest,178,140,0,163,0,19,161,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUC_M_R,Cropland,0,55,0,44,143,7,81,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUC_M_R,Bareland,16,0,0,88,81,26,17,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUC_M_R,Built-up,179,270,0,249,516,9,140,0,0,0,0,23
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUC_M_R,Grassland,142,101,0,78,280,46,0,0,0,0,0,31
