Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCJ_M_R,Forest,496,0,0,461,224,64,389,1045,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCJ_M_R,Non_Water,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCJ_M_R,Built-up,101,0,8,3,68,0,24,109,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCJ_M_R,Permanent_ice_and_snow,0,0,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCJ_M_R,Shrubland,0,0,0,0,0,0,0,0,242,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCJ_M_R,Wetland,0,0,0,0,0,0,111,0,772,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCJ_M_R,Grassland,0,0,0,80,0,0,85,0,518,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCJ_M_R,Water,0,0,0,341,0,0,0,0,409,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCJ_M_R,Forest,0,0,0,219,0,0,182,0,873,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCJ_M_R,Bareland,0,0,0,14,0,0,43,0,37,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCJ_M_R,Cropland,0,0,0,0,0,0,4,0,153,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCJ_M_R,Built-up,0,0,0,1,0,0,14,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCJ_M_R,Grassland,0,98,65,194,308,26,42,306,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCJ_M_R,Non_Wetland,4,0,1,10,8,0,1,7,0,0,0,0
