Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Cropland,Forest,Shrubland,Built-up,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZV_M_R,Wetland,0,0,0,13,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZV_M_R,Grassland,0,0,0,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZV_M_R,Forest,0,0,0,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZV_M_R,Water,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZV_M_R,Forest,15,2,9,31,13,0,0,0,0,0,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZV_M_R,Wetland,4,0,2,22,1,29,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZV_M_R,Water,1,11,2,0,0,46,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZV_M_R,Grassland,0,1,0,4,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZV_M_R,Bareland,0,0,0,1,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZV_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
