Dataset,MajorityClass,Wetland,Grassland,Water,Forest,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MND_M_R,Built-up,17,15,4,1,36,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MND_M_R,Cropland,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MND_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MND_M_R,Wetland,0,0,416,0,0,0,0,190,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MND_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MND_M_R,Grassland,0,0,15,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MND_M_R,Water,0,0,0,0,0,0,0,269,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MND_M_R,Bareland,0,0,25,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MND_M_R,Forest,0,0,137,0,0,0,0,46,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MND_M_R,Built-up,0,0,8,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MND_M_R,Grassland,3,0,0,27,17,6,0,0,48,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MND_M_R,Forest,137,91,36,0,120,51,0,0,178,19,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MND_M_R,Wetland,0,55,67,99,116,30,0,0,63,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MND_M_R,Bareland,8,0,0,8,0,10,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MND_M_R,Built-up,11,4,0,21,10,0,0,0,69,1,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MND_M_R,Water,276,140,0,177,174,32,0,0,68,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MND_M_R,Wetland,0,0,148,132,54,32,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MND_M_R,Water,338,0,0,73,155,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MND_M_R,Forest,133,0,182,0,14,155,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MND_M_R,Grassland,2,0,4,11,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MND_M_R,Bareland,3,0,12,1,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MND_M_R,Built-up,0,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MND_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MND_M_R,Wetland,0,28,164,504,105,0,0,0,0,0,0,59
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MND_M_R,Water,59,10,0,472,144,0,0,0,0,2,0,38
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MND_M_R,Forest,0,8,8,0,2,0,0,0,0,16,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MND_M_R,Grassland,2,0,3,53,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MND_M_R,Built-up,0,0,4,48,14,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MND_M_R,Bareland,1,0,0,11,0,0,0,0,0,0,0,0
